developmental_program	enrichment_source	ID	term_name	cleaned_term	Description	mapped_background_genes	mapped_foreground_genes	background_gene_count	Count	GeneRatio	BgRatio	foreground_fraction	background_fraction	enrichment_fold	odds_ratio_haldane	pvalue	p_adjust	FDR_significant	geneID	negative_log10_FDR	term_key
fetal_high_decreasing	GO_BP	M2472	GOBP_MRNA_PROCESSING	Mrna Processing	Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide. [GOC:mah]	10689	3153	427	262	262/3153	427/10689	0.0830954646368538	0.0399476096922069	2.08011105738485	4.04356084847085	3.85059830918037e-44	1.65922281142582e-40	TRUE	ACIN1/AFF2/AQR/ARVCF/BARD1/BUD13/CASC3/CBLL1/CCNL1/CD2BP2/CDC5L/CDK12/CDK13/CELF1/CELF2/CELF3/CHD8/CIRBP/CLP1/CNOT6L/COIL/CPSF1/CPSF3/CPSF6/CPSF7/CRNKL1/CSTF2/CSTF3/CTNNBL1/CWC22/CWC25/CWC27/CWF19L1/DAZAP1/DBR1/DDX17/DDX20/DDX23/DDX39A/DDX39B/DDX46/DDX47/DDX5/DHX15/DHX16/DHX35/DHX38/DHX40/DHX8/DHX9/DNAJC17/DUS3L/DYRK1A/EFTUD2/EIF4A3/ESRP2/EXOSC10/FAM32A/FRG1/GEMIN2/GEMIN4/GEMIN5/GEMIN8/GPATCH1/HNRNPA0/HNRNPA1/HNRNPA1L2/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH1/HNRNPH3/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HNRNPUL1/HTATSF1/IK/ILF3/IVNS1ABP/IWS1/JMJD6/KHDRBS1/KHDRBS2/KHDRBS3/KHSRP/KIN/LEO1/LSM11/LSM2/LSM5/LSM6/LSM7/LUC7L2/LUC7L3/MAGOHB/METTL14/METTL16/METTL3/MTPAP/NCBP1/NCBP2/NCL/NONO/NOVA2/NPM1/NUDT21/NUP98/PABPC1/PAF1/PAN3/PAPOLA/PAPOLG/PCF11/PCIF1/PHF5A/PLRG1/PNN/PPIH/PPIL3/PPIL4/PPP1R8/PPWD1/PQBP1/PRMT7/PRPF3/PRPF31/PRPF38A/PRPF38B/PRPF4/PRPF40A/PRPF6/PRPF8/PSIP1/PTBP1/PTBP2/PUF60/PUS7/PUS7L/RALY/RBBP6/RBFOX2/RBM10/RBM14/RBM15/RBM15B/RBM19/RBM22/RBM25/RBM28/RBM3/RBM39/RBM4/RBM41/RBM4B/RBM6/RBM7/RBM8A/RBMX/RBMX2/RBMXL1/REST/RNF113A/RNGTT/RNPS1/RPRD1B/RPRD2/RPUSD2/RPUSD4/RRP1B/SAP30BP/SART1/SART3/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SFPQ/SNIP1/SNRNP200/SNRNP40/SNRNP48/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SNW1/SON/SREK1/SRPK1/SRRM1/SRRM2/SRRM4/SRSF1/SRSF10/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF6/SRSF7/SRSF9/SUGP1/SUGP2/SUPT6H/SYF2/SYMPK/SYNCRIP/TARDBP/TCERG1/TFIP11/TGS1/THOC1/THOC2/THOC5/THOC6/THRAP3/THUMPD2/TIA1/TIAL1/TRA2A/TRA2B/TRMT61B/TSEN34/TSSC4/TUT1/TXNL4B/U2AF1/U2AF2/UPF1/UPF3A/UPF3B/USP39/USP49/WDR33/WDR70/WDR77/WTAP/XAB2/XRN2/YBX1/YTHDC1/ZC3H13/ZC3H14/ZC3H3/ZCCHC8/ZNF326/ZNF473/ZNF830	39.7800952901207	fetal_high_decreasing::GO_BP::M2472
fetal_high_decreasing	GO_BP	M13559	GOBP_RNA_SPLICING	Rna Splicing	The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA. [GOC:krc, GOC:mah]	10689	3153	403	249	249/3153	403/10689	0.0789724072312084	0.0377023107867902	2.09463042405555	4.10463119108225	1.04308707300122e-42	2.24733109878113e-39	TRUE	ACIN1/AFF2/AQR/ARVCF/ATXN7/BUD13/CASC3/CCNL1/CD2BP2/CDC5L/CDK12/CDK13/CELF1/CELF2/CELF3/CIRBP/CLK1/CLK2/CLK3/CLP1/COIL/CRNKL1/CTNNBL1/CWC22/CWC25/CWC27/CWF19L1/DAZAP1/DBR1/DDX17/DDX20/DDX23/DDX39A/DDX39B/DDX46/DDX47/DDX5/DHX15/DHX16/DHX35/DHX38/DHX40/DHX8/DHX9/DNAJC17/DYRK1A/EFTUD2/EIF4A3/ESRP2/EXOSC10/FAM32A/FAM98B/FRG1/FUS/GEMIN2/GEMIN4/GEMIN5/GEMIN8/GPATCH1/HNRNPA1/HNRNPA1L2/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH1/HNRNPH3/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HNRNPUL1/HTATSF1/IK/ILF3/IVNS1ABP/IWS1/JMJD6/KHDRBS1/KHDRBS2/KHDRBS3/KHSRP/KIN/LSM2/LSM5/LSM6/LSM7/LUC7L2/LUC7L3/MAGOHB/METTL14/METTL16/METTL3/MPHOSPH10/NCBP1/NCBP2/NCL/NONO/NOVA2/NPM1/NUP98/PABPC1/PHF5A/PLRG1/PNN/PPIH/PPIL3/PPIL4/PPP1R8/PPWD1/PQBP1/PRMT1/PRMT7/PRPF3/PRPF31/PRPF38A/PRPF38B/PRPF4/PRPF40A/PRPF6/PRPF8/PSIP1/PTBP1/PTBP2/PUF60/PUS7/PYROXD1/RALY/RBFOX2/RBM10/RBM12/RBM12B/RBM14/RBM15/RBM15B/RBM19/RBM22/RBM25/RBM28/RBM3/RBM39/RBM4/RBM41/RBM4B/RBM6/RBM7/RBM8A/RBMX/RBMX2/RBMXL1/REST/RNF113A/RNPS1/RP9/RPS13/RPUSD4/RRP1B/SAP30BP/SART1/SART3/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SFPQ/SNIP1/SNRNP200/SNRNP40/SNRNP48/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SNW1/SON/SREK1/SRPK1/SRRM1/SRRM2/SRRM4/SRSF1/SRSF10/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF6/SRSF7/SRSF9/SUGP1/SUGP2/SUPT3H/SUPT6H/SYF2/SYNCRIP/TADA1/TADA2B/TAF15/TAF5L/TARDBP/TCERG1/TFIP11/TGS1/THOC1/THOC2/THOC5/THOC6/THRAP3/THUMPD2/TIA1/TIAL1/TRA2A/TRA2B/TRRAP/TSEN34/TSSC4/TXNL4B/U2AF1/U2AF2/UPF1/UPF3A/UPF3B/USP22/USP39/USP49/WDR70/WDR77/WTAP/XAB2/YBX1/YTHDC1/ZC3H10/ZC3H13/ZC3H14/ZCCHC8/ZNF326/ZNF638/ZNF830	38.6483329383595	fetal_high_decreasing::GO_BP::M13559
fetal_high_decreasing	GO_BP	M8362	GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	Rna Splicing via Transesterification Reactions	Splicing of RNA via a series of two transesterification reactions. [GOC:krc]	10689	3153	297	199	199/3153	297/10689	0.0631144941325722	0.0277855739545327	2.27148426862984	5.09927040658103	8.8893630322357e-42	1.27680884353012e-38	TRUE	ACIN1/AQR/BUD13/CASC3/CCNL1/CD2BP2/CDC5L/CDK13/CELF1/CELF2/CELF3/CIRBP/COIL/CRNKL1/CTNNBL1/CWC22/CWC25/CWC27/CWF19L1/DAZAP1/DBR1/DDX17/DDX20/DDX23/DDX39A/DDX39B/DDX46/DDX5/DHX15/DHX16/DHX35/DHX38/DHX40/DHX8/DHX9/DNAJC17/DYRK1A/EFTUD2/EIF4A3/ESRP2/EXOSC10/FAM32A/FRG1/GEMIN2/GEMIN4/GEMIN5/GEMIN8/GPATCH1/HNRNPA1/HNRNPA1L2/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH1/HNRNPH3/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HNRNPUL1/HTATSF1/IK/ILF3/JMJD6/KHDRBS1/KHDRBS2/KHDRBS3/KHSRP/KIN/LSM2/LSM5/LSM6/LSM7/LUC7L2/LUC7L3/MAGOHB/METTL14/METTL16/METTL3/MPHOSPH10/NCBP1/NCBP2/NCL/NOVA2/NPM1/NUP98/PABPC1/PHF5A/PLRG1/PNN/PPIH/PPIL3/PPIL4/PPWD1/PQBP1/PRMT7/PRPF3/PRPF31/PRPF38A/PRPF4/PRPF40A/PRPF6/PRPF8/PSIP1/PTBP1/PTBP2/PUF60/RALY/RBFOX2/RBM10/RBM14/RBM15/RBM15B/RBM19/RBM22/RBM25/RBM3/RBM39/RBM4/RBM41/RBM4B/RBM6/RBM7/RBM8A/RBMX/RBMX2/RBMXL1/REST/RNF113A/RNPS1/SAP30BP/SART1/SART3/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SFPQ/SNIP1/SNRNP200/SNRNP40/SNRNP48/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SNW1/SON/SRPK1/SRRM1/SRRM2/SRRM4/SRSF1/SRSF10/SRSF12/SRSF2/SRSF3/SRSF4/SRSF6/SRSF7/SRSF9/SYF2/SYNCRIP/TFIP11/TGS1/THRAP3/THUMPD2/TIA1/TIAL1/TRA2A/TRA2B/TSSC4/TXNL4B/U2AF1/U2AF2/UPF1/UPF3A/UPF3B/USP39/USP49/WDR70/WDR77/WTAP/XAB2/YTHDC1/ZC3H14/ZCCHC8/ZNF830	37.8938741179396	fetal_high_decreasing::GO_BP::M8362
fetal_high_decreasing	GO_BP	M16027	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Ribonucleoprotein Complex Biogenesis	A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex. [GOC:isa_complete, GOC:mah]	10689	3153	427	248	248/3153	427/10689	0.0786552489692356	0.0399476096922069	1.96896008485283	3.50567241361955	4.64053381500458e-36	4.99901505221369e-33	TRUE	AATF/ABCF1/ABT1/ATM/BOP1/BRIX1/BUD13/BYSL/CD2BP2/CELF1/CELF2/CELF3/CHD7/CLP1/COIL/CRNKL1/CUL4A/CUL4B/DCAF13/DDX17/DDX18/DDX20/DDX21/DDX23/DDX31/DDX39B/DDX3X/DDX46/DDX47/DDX49/DDX52/DDX55/DHX29/DHX30/DHX37/DHX9/DICER1/DIMT1/DIS3/DKC1/DNTTIP2/DROSHA/EFTUD2/EIF2A/EIF2S2/EIF2S3/EIF3A/EIF3B/EIF3C/EIF3D/EIF3E/EIF3F/EIF3G/EIF3H/EIF3I/EIF3L/EIF3M/EIF4A3/EIF6/ERI1/EXOSC10/EXOSC2/EXOSC8/EXOSC9/FBL/FCF1/FDXACB1/FRG1/FTSJ3/GAR1/GEMIN2/GEMIN4/GEMIN5/GEMIN8/GNL2/GNL3L/GRWD1/GTPBP4/HEATR1/HEATR3/HTATSF1/ISG20L2/LSG1/LSM2/LSM5/LSM6/LSM7/LUC7L2/LUC7L3/LYAR/METTL16/MPHOSPH10/MRPS2/NAT10/NCBP1/NGDN/NLE1/NOB1/NOC2L/NOC4L/NOL10/NOL11/NOL8/NOL9/NOP14/NOP2/NOP56/NOP58/NPM1/NSA2/NSUN3/NUP88/NVL/PA2G4/PAK1IP1/PDCD11/PDCD2/PES1/PHF5A/PPAN/PRKDC/PRMT7/PRPF3/PRPF31/PRPF4/PRPF6/PRPF8/PSIP1/PTBP2/PUF60/PWP1/RBFA/RBM10/RBM34/RBMX2/RCL1/REXO4/RIOK1/RIOK3/RPL11/RPL13A/RPL14/RPL24/RPL26/RPL26L1/RPL27/RPL35A/RPL38/RPL5/RPL7/RPL7A/RPL7L1/RPLP0/RPLP0P6/RPP30/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS19/RPS21/RPS23/RPS24/RPS25/RPS27A/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/RPUSD2/RPUSD4/RRN3/RRP1/RRP1B/RRP9/RUVBL1/RUVBL2/SART1/SART3/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SNIP1/SNRNP200/SNRNP40/SNRNP48/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SRFBP1/SRPK1/SRSF1/SRSF10/SRSF12/SRSF6/SRSF9/SURF6/SYNCRIP/TARBP2/TBL3/TCOF1/TEX10/TGS1/TRMT61B/TSR1/TSSC4/TXNL4B/U2AF2/URB1/USP39/UTP14A/UTP15/UTP18/UTP20/UTP23/UTP6/WDR18/WDR3/WDR36/WDR46/WDR74/WDR75/WDR77/XAB2/XPO1/XRCC5/XRN2/YTHDC1/YTHDF2/ZCCHC4/ZNF574	32.3011155555692	fetal_high_decreasing::GO_BP::M16027
fetal_high_decreasing	GO_BP	M29343	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	Regulation of Mrna Metabolic Process	Any process that modulates the frequency, rate or extent of mRNA metabolic process. [GO_REF:0000058, GOC:TermGenie, GOC:vw]	10689	3153	285	173	173/3153	285/10689	0.0548683793212813	0.0266629245018243	2.05785300549185	3.84171410464314	1.71007104315314e-28	1.47373922498938e-25	TRUE	ACIN1/AKT1/APEX1/AXIN2/BARD1/BCLAF1/CAPRIN1/CARHSP1/CASC3/CCNL1/CELF1/CELF2/CELF3/CIRBP/CLP1/CNOT1/CNOT10/CNOT2/CNOT3/CNOT4/CNOT6/CNOT6L/CNOT8/CSDE1/CSTF2/CSTF3/CWC22/DAZAP1/DCP1A/DCP1B/DCP2/DDX17/DDX5/DDX6/DHX34/DHX9/DIS3/DIS3L2/DYRK1A/EDC3/EDC4/EFTUD2/EIF4A3/ELAVL1/EXOSC10/FAM76B/FASTKD1/FASTKD3/FUS/FXR1/GIGYF2/GTPBP1/HNRNPA0/HNRNPA1/HNRNPAB/HNRNPC/HNRNPD/HNRNPK/HNRNPL/HNRNPU/IGF2BP2/IGF2BP3/IREB2/IWS1/JMJD6/KHDRBS1/KHDRBS2/KHDRBS3/KHSRP/LSM2/LSM5/LSM6/LSM7/MAGOHB/METTL14/METTL16/METTL3/MEX3D/MLH1/MYD88/NANOS1/NBAS/NCBP1/NCBP2/NOVA2/NPM1/NUP98/NYNRIN/PABPC1/PAIP1/PAN3/PATL1/PCF11/PIAS4/PNN/POLR2G/PRPF8/PTBP1/PUF60/PUM1/PUM2/RBFOX2/RBM10/RBM14/RBM15/RBM15B/RBM19/RBM25/RBM33/RBM39/RBM4/RBM4B/RBM7/RBM8A/RBMX/RC3H1/RC3H2/REST/RNPS1/ROCK1/SAP30BP/SECISBP2/SENP1/SERBP1/SMG1/SMG8/SNIP1/SNRNP200/SNRPB/SNRPD1/SNRPD3/SNRPE/SNRPF/SNW1/SON/SRPK1/SRRM1/SRRM4/SRSF1/SRSF10/SRSF12/SRSF2/SRSF3/SRSF4/SRSF6/SRSF7/SRSF9/SYNCRIP/TAF15/TARDBP/THRAP3/THUMPD2/TIA1/TIAL1/TNKS1BP1/TNRC6A/TNRC6C/TRA2B/TRAF2/TTC5/U2AF2/UPF1/UPF3A/UPF3B/VIM/WDR77/WTAP/XRN1/YBX1/YTHDC1/YTHDF1/YTHDF2/ZC3H14	24.8315793571605	fetal_high_decreasing::GO_BP::M29343
fetal_high_decreasing	GO_CC	M17545	GOCC_SPLICEOSOMAL_COMPLEX	Spliceosomal Complex	Any of a series of ribonucleoprotein complexes that contain snRNA(s) and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the spliceosomal splicing of one or more substrate RNAs, and which also contain the RNA substrate(s) from the initial target RNAs of splicing, the splicing intermediate RNA(s), to the final RNA products. During cis-splicing, the initial target RNA is a single, contiguous RNA transcript, whether mRNA, snoRNA, etc., and the released products are a spliced RNA and an excised intron, generally as a lariat structure. During trans-splicing, there are two initial substrate RNAs, the spliced leader RNA and a pre-mRNA. [GOC:editors, GOC:mah, ISBN:0198547684, PMID:19239890]	9222	2684	183	127	127/2684	183/9222	0.047317436661699	0.0198438516590761	2.38448852947644	5.71990242130122	5.79227952711093e-30	3.46957543673945e-27	TRUE	AQR/BUD13/CASC3/CCDC12/CD2BP2/CDC5L/CIRBP/CRNKL1/CTNNBL1/CWC22/CWC25/CWC27/CWF19L1/DDX23/DDX39B/DDX46/DDX5/DHX15/DHX16/DHX35/DHX38/DHX40/DHX8/DNAJC17/EFTUD2/EIF4A3/FAM32A/FRG1/GEMIN2/GPATCH1/HNRNPA1/HNRNPA1L2/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH1/HNRNPH3/HNRNPK/HNRNPM/HNRNPR/HNRNPU/HTATSF1/IK/IVNS1ABP/KIN/LSM2/LSM5/LSM6/LSM7/LUC7L2/LUC7L3/MAGOHB/NCL/PABPC1/PHF5A/PLRG1/PNN/PPIH/PPIL3/PPIL4/PPP1R8/PPWD1/PRPF3/PRPF31/PRPF38A/PRPF38B/PRPF4/PRPF40A/PRPF6/PRPF8/PTBP2/RALY/RBM22/RBM28/RBM3/RBM41/RBM8A/RBMX/RBMX2/RBMXL1/RNF113A/SART1/SART3/SF1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SNIP1/SNRNP200/SNRNP40/SNRNP48/SNRPA/SNRPB/SNRPB2/SNRPC/SNRPD1/SNRPD3/SNRPE/SNRPF/SNW1/SREK1/SRRM1/SRRM2/SRSF1/SUGP1/SYF2/SYNCRIP/TFIP11/TRA2A/TRA2B/TSSC4/TXNL4B/U2AF1/U2AF2/UPF1/USP39/WDR70/XAB2/YBX1/ZCCHC8/ZNF830	26.4597236654864	fetal_high_decreasing::GO_CC::M17545
fetal_high_decreasing	GO_CC	M50627	GOCC_NUCLEAR_RIBONUCLEOPROTEIN_GRANULE	Nuclear Ribonucleoprotein Granule	A ribonucleoprotein granule located in the nucleus. [PMID:32475683, PMID:35355287, PMID:37890457]	9222	2684	385	213	213/2684	385/9222	0.0793591654247392	0.0417479939275645	1.90090967155051	3.18822460103147	4.36777564728325e-28	1.30814880636133e-25	TRUE	ACIN1/AFF2/APEX1/ARIH1/ASCC1/ASCC2/ASCC3/ATXN2L/BANP/BARD1/BASP1/BAZ2A/BCL11A/BCLAF1/BRD1/BRD2/C12ORF57/CASC3/CBLL1/CBY1/CCNL1/CD2BP2/CDC5L/CDK12/CDK13/CDK2/CHTOP/CLK2/CLK3/COIL/CPSF6/CRNKL1/CSNK1A1/CTR9/CWC22/CWC25/CXXC1/DDX17/DDX39B/DDX46/DDX5/DHX15/DHX9/DKC1/DYRK1A/EFTUD2/EHMT2/EIF4A1/EIF4A3/EP400/ETAA1/FAM76B/FANCG/FBL/FRG1/FYTTD1/GAR1/GATAD2A/GATAD2B/GEMIN4/GLI3/GRK5/GTF2H4/HBP1/HDAC5/HIF1A/HINFP/HNRNPA2B1/HNRNPM/HNRNPU/HP1BP3/IK/KAT6A/KAZN/KIF22/LSG1/LUC7L2/LUC7L3/MAML1/MAML3/METTL3/MSL1/NCAPG2/NDC80/NONO/NOP58/NPAT/NPM1/NR4A2/NUDT21/NXF1/NXT1/OIP5/PAK2/PALB2/PATL1/PCBP1/PHAX/PHF5A/PIP5K1A/PLRG1/PNN/POLDIP3/POLI/POLR2D/PPIH/PPP1R8/PQBP1/PRCC/PRPF3/PRPF31/PRPF4/PRPF40A/PRPF6/PRPF8/PSME4/PSPC1/RAD18/RBBP6/RBM10/RBM14/RBM15/RBM15B/RBM19/RBM25/RBM27/RBM39/RBM4/RBM4B/RBM8A/RFXAP/RNF113A/RNF34/RNPS1/RSBN1L/RUVBL1/S100PBP/SAP130/SAP30BP/SARNP/SART1/SART3/SCAPER/SCARNA11/SETD1A/SETD1B/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SFPQ/SMC4/SMC5/SMC6/SMURF2/SNRNP40/SNRPB2/SNRPC/SNW1/SON/SPOP/SREK1/SRPK1/SRRM1/SRRM2/SRSF1/SRSF10/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF6/SRSF7/SRSF9/SYF2/SYMPK/TAF5L/TARDBP/TCERG1/TCF12/TFIP11/TGS1/THOC1/THOC2/THOC6/THRAP3/TIA1/TOE1/TOPORS/TUT1/U2AF1/U2AF2/USPL1/VPS72/VRK1/WRAP53/WRN/WTAP/XPO1/YLPM1/YTHDC1/ZC3H11A/ZC3H13/ZC3H14/ZC3H18/ZNF217/ZNF446/ZNF473/ZNF638/ZNF821/ZNF830	24.8833428507321	fetal_high_decreasing::GO_CC::M50627
fetal_high_decreasing	GO_CC	M17120	GOCC_NUCLEAR_SPECK	Nuclear Speck	A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy. [PMID:28977640]	9222	2684	335	184	184/2684	335/9222	0.0685543964232489	0.0363261765343743	1.88718998153791	3.11091247097115	7.54023069213948e-24	1.50553272819718e-21	TRUE	ACIN1/AFF2/APEX1/ASCC1/ASCC2/ASCC3/ATXN2L/BANP/BARD1/BASP1/BAZ2A/BCLAF1/BRD1/BRD2/C12ORF57/CASC3/CBLL1/CBY1/CCNL1/CD2BP2/CDC5L/CDK12/CDK13/CHTOP/CLK2/CLK3/CPSF6/CRNKL1/CSNK1A1/CTR9/CWC22/CWC25/CXXC1/DDX17/DDX39B/DDX46/DDX5/DHX15/DYRK1A/EFTUD2/EHMT2/EIF4A3/EP400/ETAA1/FAM76B/FANCG/FYTTD1/GATAD2A/GATAD2B/GLI3/GRK5/GTF2H4/HBP1/HDAC5/HIF1A/HNRNPU/HP1BP3/IK/KAT6A/KAZN/KIF22/LUC7L2/LUC7L3/MAML1/MAML3/METTL3/MSL1/NCAPG2/NDC80/NONO/NPM1/NR4A2/NXF1/NXT1/OIP5/PAK2/PALB2/PATL1/PCBP1/PHF5A/PIP5K1A/PLRG1/PNN/POLDIP3/POLI/POLR2D/PPIH/PPP1R8/PQBP1/PRCC/PRPF3/PRPF31/PRPF4/PRPF40A/PRPF6/PRPF8/PSME4/PSPC1/RAD18/RBBP6/RBM10/RBM14/RBM15/RBM15B/RBM19/RBM25/RBM27/RBM39/RBM4/RBM4B/RBM8A/RFXAP/RNF113A/RNF34/RNPS1/RSBN1L/RUVBL1/S100PBP/SAP130/SAP30BP/SARNP/SART1/SART3/SCAPER/SETD1A/SETD1B/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SFPQ/SMC4/SMC5/SMC6/SMURF2/SNRNP40/SNRPB2/SNW1/SON/SPOP/SREK1/SRPK1/SRRM1/SRRM2/SRSF1/SRSF10/SRSF11/SRSF12/SRSF2/SRSF3/SRSF4/SRSF6/SRSF7/SRSF9/SYF2/TAF5L/TARDBP/TCERG1/TCF12/TFIP11/THOC1/THOC2/THOC6/THRAP3/TOE1/TOPORS/TUT1/U2AF1/U2AF2/VPS72/WRN/WTAP/YLPM1/YTHDC1/ZC3H11A/ZC3H13/ZC3H14/ZC3H18/ZNF217/ZNF446/ZNF638/ZNF821/ZNF830	20.8223097990878	fetal_high_decreasing::GO_CC::M17120
fetal_high_decreasing	GO_CC	M17484	GOCC_CATALYTIC_STEP_2_SPLICEOSOME	Catalytic Step 2 Spliceosome	A spliceosomal complex that contains three snRNPs, including U5, bound to a splicing intermediate in which the first catalytic cleavage of the 5' splice site has occurred. The precise subunit composition differs significantly from that of the catalytic step 1, or activated, spliceosome, and includes many proteins in addition to those found in the associated snRNPs. [GOC:ab, GOC:krc, GOC:mah, ISBN:0879695897, ISBN:0879697393, PMID:18322460, PMID:19239890]	9222	2684	96	74	74/2684	96/9222	0.0275707898658718	0.0104098893949252	2.64851900149031	8.26541105365086	1.92933917068586e-22	2.88918540810207e-20	TRUE	AQR/BUD13/CASC3/CDC5L/CRNKL1/CWC22/CWC27/DDX23/DDX5/DHX16/DHX35/DHX38/DHX8/EFTUD2/EIF4A3/FAM32A/FRG1/GPATCH1/HNRNPA1/HNRNPA1L2/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH1/HNRNPK/HNRNPM/HNRNPR/HNRNPU/LSM2/LSM7/MAGOHB/PABPC1/PHF5A/PLRG1/PNN/PPIL3/PPWD1/PRPF6/PRPF8/RALY/RBM22/RBM8A/RBMX/RBMX2/RNF113A/SART1/SF3A1/SF3A2/SF3A3/SF3B1/SF3B2/SF3B3/SF3B4/SF3B5/SNIP1/SNRNP200/SNRNP40/SNRPB/SNRPB2/SNRPD1/SNRPD3/SNRPE/SNRPF/SNW1/SRRM1/SRRM2/SRSF1/SYF2/SYNCRIP/TFIP11/U2AF1/XAB2/ZCCHC8	19.5392245872206	fetal_high_decreasing::GO_CC::M17484
fetal_high_decreasing	GO_CC	M17781	GOCC_CYTOSOLIC_RIBOSOME	Cytosolic Ribosome	A ribosome located in the cytosol. [GOC:mtg_sensu]	9222	2684	111	77	77/2684	111/9222	0.0286885245901639	0.0120364346128822	2.383473637572	5.60366556894132	1.30572966807909e-18	1.56426414235875e-16	TRUE	ASCC2/ASCC3/DDX3X/DHX29/EEF1A1/GSPT1/PELO/RIOK3/RNF10/RPL10/RPL10A/RPL11/RPL13/RPL13A/RPL14/RPL15/RPL17/RPL18/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL28/RPL3/RPL30/RPL32/RPL34/RPL35A/RPL37/RPL37A/RPL37AP8/RPL38/RPL39/RPL39L/RPL39P5/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL7L1/RPL8/RPLP0/RPLP0P6/RPLP2/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS19/RPS20/RPS21/RPS23/RPS24/RPS25/RPS27A/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/UBA52/USP10/ZNF598	15.8056899099189	fetal_high_decreasing::GO_CC::M17781
