profile_index	profile_id	analysis_scope	is_primary_scope	chemical_query	evidence_tier	signature_count	unique_cell_count	neural_lineage_signature_count	axis_name	observed_score	null_mean	null_standard_deviation	empirical_z	empirical_p_upper	empirical_p_lower	empirical_p_two_sided	empirical_p_upper_FDR_within_axis	empirical_p_upper_FDR_within_scope_all_axes	empirical_p_lower_FDR_within_axis	empirical_p_lower_FDR_within_scope_all_axes	empirical_p_two_sided_FDR_within_axis	empirical_p_two_sided_FDR_within_scope_all_axes	maxT_p_upper_within_axis	maxT_p_lower_within_axis	maxT_p_two_sided_within_axis	maxT_p_upper_within_scope_all_axes	maxT_p_lower_within_scope_all_axes	maxT_p_two_sided_within_scope_all_axes	directional_FDR_evidence_class	global_maxT_evidence_class
0	all_cells_cell_balanced|camptothecin	all_cells_cell_balanced	True	camptothecin	Tier_A_global_residual_mechanism	42	7	0	developmental_shift	0.14602978640148545	0.2963789263695478	0.024554787092289868	-6.123007273611082	1.0	0.0001999600079984003	0.0003999200159968006	1.0	1.0	0.0009998000399920016	0.0025709143885508613	0.0005998800239952009	0.001894357970511161	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	0.0001999600079984003	negative_FDR_supported	negative_global_maxT_supported
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	developmental_shift	-0.012280753325177134	-0.04708383040130138	0.004667614429135702	7.456287918487882	0.0001999600079984003	1.0	0.0003999200159968006	0.00042848573142514353	0.0014997000599880023	1.0	1.0	0.0005998800239952009	0.001894357970511161	0.0001999600079984003	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	positive_FDR_supported	positive_global_maxT_supported
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	developmental_shift	0.20510414851426395	0.2674118266642094	0.013188571618208494	-4.724368942571596	1.0	0.0001999600079984003	0.0003999200159968006	1.0	1.0	0.0009998000399920016	0.0025709143885508613	0.0005998800239952009	0.001894357970511161	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	0.0005998800239952009	negative_FDR_supported	negative_global_maxT_supported
6	all_cells_cell_balanced|fulvestrant	all_cells_cell_balanced	True	fulvestrant	Tier_D_no_fixed_panel_mechanism	42	7	0	developmental_shift	0.06991288906071988	0.030982822645641863	0.005073538630527132	7.673158568427663	0.0001999600079984003	1.0	0.0003999200159968006	0.00042848573142514353	0.0014997000599880023	1.0	1.0	0.0005998800239952009	0.001894357970511161	0.0001999600079984003	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	positive_FDR_supported	positive_global_maxT_supported
8	all_cells_cell_balanced|primaquine	all_cells_cell_balanced	True	primaquine	Tier_C_program_overlap_dependent	42	7	0	developmental_shift	-0.028571030200347985	0.022624448434542865	0.005510055480227607	-9.291281878848903	1.0	0.0001999600079984003	0.0003999200159968006	1.0	1.0	0.0009998000399920016	0.0025709143885508613	0.0005998800239952009	0.001894357970511161	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	0.0001999600079984003	negative_FDR_supported	negative_global_maxT_supported
9	all_cells_cell_balanced|resveratrol	all_cells_cell_balanced	True	resveratrol	Tier_A_global_residual_mechanism	171	21	27	developmental_shift	-0.028018095661379153	-0.05701342829540372	0.0036665979514941397	7.907966190350638	0.0001999600079984003	1.0	0.0003999200159968006	0.00042848573142514353	0.0014997000599880023	1.0	1.0	0.0005998800239952009	0.001894357970511161	0.0001999600079984003	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	positive_FDR_supported	positive_global_maxT_supported
10	all_cells_cell_balanced|rifabutin	all_cells_cell_balanced	True	rifabutin	Tier_C_program_overlap_dependent	42	7	0	developmental_shift	-0.003913441369064741	-0.02815537804067135	0.005559410470830579	4.360522900548635	0.0001999600079984003	1.0	0.0003999200159968006	0.00042848573142514353	0.0014997000599880023	1.0	1.0	0.0005998800239952009	0.001894357970511161	0.0005998800239952009	1.0	0.0005998800239952009	0.0009998000399920016	1.0	0.0015996800639872025	positive_FDR_supported	positive_global_maxT_supported
11	all_cells_cell_balanced|trichostatin A	all_cells_cell_balanced	True	trichostatin A	Tier_C_program_overlap_dependent	15	5	3	developmental_shift	0.29635286357579005	0.16142238242328166	0.020094566683854793	6.7147743604205115	0.0001999600079984003	1.0	0.0003999200159968006	0.00042848573142514353	0.0014997000599880023	1.0	1.0	0.0005998800239952009	0.001894357970511161	0.0001999600079984003	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	positive_FDR_supported	positive_global_maxT_supported
12	all_cells_cell_balanced|valproic acid	all_cells_cell_balanced	True	valproic acid	Tier_C_program_overlap_dependent	42	7	0	developmental_shift	0.0052358859186557825	-0.05158182012140751	0.005913532874119249	9.608081539332884	0.0001999600079984003	1.0	0.0003999200159968006	0.00042848573142514353	0.0014997000599880023	1.0	1.0	0.0005998800239952009	0.001894357970511161	0.0001999600079984003	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	positive_FDR_supported	positive_global_maxT_supported
14	all_cells_cell_balanced|vorinostat	all_cells_cell_balanced	True	vorinostat	Tier_C_program_overlap_dependent	210	22	46	developmental_shift	0.22947652867600637	0.13676331606358288	0.009955728188151668	9.31254960563926	0.0001999600079984003	1.0	0.0003999200159968006	0.00042848573142514353	0.0014997000599880023	1.0	1.0	0.0005998800239952009	0.001894357970511161	0.0001999600079984003	1.0	0.0001999600079984003	0.0001999600079984003	1.0	0.0001999600079984003	positive_FDR_supported	positive_global_maxT_supported
