chemical_name	DTXSID	evidence_tier	Level5_signature_count	unique_cell_count	neural_quantitative_data_available	replicate_concordant_signatures	replicate_concordant_cells	replicate_concordant_sensitivity_class	overall_primary_interpretation	primary_global_maxT_supported_axes	primary_FDR_only_supported_axes	primary_absolute_direction_supported_axes	primary_null_relative_only_axes	primary_secondary_replicated_absolute_axis_count	neural_absolute_supported_axis_count	primary_absolute_direction_retained_count	primary_absolute_bootstrap_replicated_count	direct_injury_activation	direct_injury_exceeds_late_program	direct_late_maturation_support	direct_late_maturation_depletion	direct_early_program_suppression	direct_positive_developmental_shift	direct_negative_developmental_shift
camptothecin	DTXSID0030956	Tier_A_global_residual_mechanism	42	7	False	41.0	7.0	all_primary_absolute_axes_bootstrap_replicated	injury_dominant_developmental_perturbation	3.0	0.0	2.0	1.0	2.0	0.0	2.0	2.0	True	True	False	False	False	False	False
etoposide	DTXSID5023035	Tier_A_global_residual_mechanism	57	9	True	21.0	7.0	all_primary_absolute_axes_directionally_retained	injury_dominant_developmental_perturbation	1.0	2.0	3.0	0.0	3.0	3.0	3.0	1.0	True	True	False	False	False	True	False
resveratrol	DTXSID4031980	Tier_A_global_residual_mechanism	171	21	True	92.0	21.0	no_primary_absolute_axes_but_all_directions_stable	no_coherent_empirically_supported_pattern	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	False	False	False	False	False	False	False
doxorubicin	DTXSID8021480	Tier_B_relative_residual_profile	42	7	False	31.0	6.0	all_primary_absolute_axes_bootstrap_replicated	injury_dominant_developmental_perturbation	3.0	0.0	2.0	1.0	2.0	0.0	2.0	2.0	True	True	False	False	False	False	False
daunorubicin	DTXSID0033382	Tier_C_program_overlap_dependent	41	7	False	37.0	7.0	all_primary_absolute_axes_bootstrap_replicated	injury_dominant_developmental_perturbation	2.0	1.0	2.0	1.0	2.0	0.0	2.0	2.0	True	True	False	False	False	False	False
mitoxantrone	DTXSID4046947	Tier_C_program_overlap_dependent	345	29	True	271.0	23.0	no_primary_absolute_axes_but_all_directions_stable	no_coherent_empirically_supported_pattern	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	False	False	False	False	False	False	False
primaquine	DTXSID8023509	Tier_C_program_overlap_dependent	42	7	False	23.0	7.0	partial_primary_axis_retention	negative_developmental_state_shift	2.0	1.0	2.0	1.0	2.0	0.0	1.0	0.0	False	False	False	False	False	False	True
rifabutin	DTXSID0033960	Tier_C_program_overlap_dependent	42	7	False	28.0	7.0	no_primary_absolute_axes_mixed_directional_stability	no_coherent_empirically_supported_pattern	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	False	False	False	False	False	False	False
trichostatin A	DTXSID6037063	Tier_C_program_overlap_dependent	15	5	True	0.0	0.0	not_evaluable_no_replicate_concordant_profiles	late_program_support_without_supported_injury	1.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	False	False	True	False	False	True	False
valproic acid	DTXSID6023733	Tier_C_program_overlap_dependent	42	7	False	20.0	6.0	all_primary_absolute_axes_directionally_retained	relative_late_program_preservation_only	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	False	False	False	False	False	True	False
verapamil	DTXSID9041152	Tier_C_program_overlap_dependent	42	7	False	13.0	7.0	all_primary_absolute_axes_bootstrap_replicated	late_program_depletion	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	False	False	False	True	False	False	False
vorinostat	DTXSID6041133	Tier_C_program_overlap_dependent	210	22	True	138.0	19.0	all_primary_absolute_axes_directionally_retained	late_program_support_without_supported_injury	1.0	2.0	3.0	0.0	3.0	2.0	3.0	2.0	False	False	True	False	False	True	False
dexamethasone	DTXSID3020384	Tier_D_no_fixed_panel_mechanism	57	9	True	27.0	7.0	partial_primary_axis_retention	late_program_depletion	0.0	2.0	2.0	0.0	2.0	2.0	1.0	0.0	False	False	False	True	False	False	False
dosulepin	DTXSID2022961	Tier_D_no_fixed_panel_mechanism	42	7	False	10.0	4.0	all_primary_absolute_axes_directionally_retained	relative_late_program_preservation_only	3.0	2.0	1.0	4.0	1.0	0.0	1.0	0.0	False	False	False	False	False	False	False
fulvestrant	DTXSID4022369	Tier_D_no_fixed_panel_mechanism	42	7	False	20.0	7.0	all_primary_absolute_axes_bootstrap_replicated	developmental_shift_without_coherent_late_support	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	False	False	False	False	False	True	False
