chemical_name	final_biological_class	final_evidence_strength	classification_claim_scope	mechanistic_priority_scope	replicate_concordant_sensitivity_class	baseline_rank_mechanistic	minimum_rank_mechanistic	maximum_rank_mechanistic	mean_rank_mechanistic	rank_standard_deviation_mechanistic	minimum_score_mechanistic	maximum_score_mechanistic	rank_range_mechanistic	stable_top5_all_mechanistic_scenarios	baseline_rank_confidence	minimum_rank_confidence	maximum_rank_confidence	mean_rank_confidence	rank_standard_deviation_confidence	minimum_score_confidence	maximum_score_confidence	rank_range_confidence	stable_top10_all_confidence_scenarios	mechanistic_rank_robustness_class	confidence_rank_robustness_class	Phase6F4_overall_robustness
hexetidine	CMAP_only_global_residual_injury_or_mixed_mechanism	provisional_strong_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											16	13	24	17.0	4.123105625617661	0.0	40.0	11	False	not_applicable_CMAP_only_scope	layer_sensitive	sensitivity_dependent
suloctidil	CMAP_only_global_residual_injury_or_mixed_mechanism	provisional_strong_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											17	14	29	18.8	5.848076606885378	0.0	40.0	15	False	not_applicable_CMAP_only_scope	layer_sensitive	sensitivity_dependent
methotrexate	CMAP_only_global_residual_early_program_suppression	provisional_strong_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											18	16	25	19.0	3.464101615137755	0.0	37.69230769230769	9	False	not_applicable_CMAP_only_scope	layer_sensitive	sensitivity_dependent
monobenzone	CMAP_only_relative_residual_profile	provisional_moderate_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											19	18	26	20.2	3.271085446759225	0.0	28.46153846153846	8	False	not_applicable_CMAP_only_scope	layer_sensitive	sensitivity_dependent
H-7	CMAP_only_program_overlap_dependent_or_unresolved	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											20	18	20	19.6	0.8944271909999161	0.0	25.128205128205128	2	False	not_applicable_CMAP_only_scope	high_rank_stability	moderate_overall_robustness
GW-8510	CMAP_only_program_overlap_dependent_or_unresolved	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											21	17	21	20.2	1.7888543819998315	0.0	24.615384615384617	4	False	not_applicable_CMAP_only_scope	moderate_rank_stability	moderate_overall_robustness
0175029-0000	CMAP_only_program_overlap_dependent_or_unresolved	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											22	16	22	20.8	2.6832815729997477	0.0	22.05128205128205	6	False	not_applicable_CMAP_only_scope	moderate_rank_stability	moderate_overall_robustness
alsterpaullone	CMAP_only_program_overlap_dependent_or_unresolved	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											23	21	23	22.6	0.8944271909999161	0.0	22.05128205128205	2	False	not_applicable_CMAP_only_scope	high_rank_stability	moderate_overall_robustness
scriptaid	CMAP_only_no_fixed_panel_mechanism	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											26	26	28	26.4	0.8944271909999161	0.0	16.923076923076923	2	False	not_applicable_CMAP_only_scope	high_rank_stability	moderate_overall_robustness
ellipticine	CMAP_only_program_overlap_dependent_or_unresolved	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											24	22	24	23.6	0.8944271909999161	0.0	21.53846153846154	2	False	not_applicable_CMAP_only_scope	high_rank_stability	moderate_overall_robustness
fenoprofen	CMAP_only_program_overlap_dependent_or_unresolved	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											25	23	25	24.6	0.8944271909999161	0.0	21.53846153846154	2	False	not_applicable_CMAP_only_scope	high_rank_stability	moderate_overall_robustness
HC toxin	CMAP_only_no_fixed_panel_mechanism	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											27	19	27	25.4	3.577708763999664	0.0	15.384615384615385	8	False	not_applicable_CMAP_only_scope	layer_sensitive	sensitivity_dependent
SC-58125	CMAP_only_no_fixed_panel_mechanism	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											28	20	28	26.4	3.577708763999664	0.0	15.384615384615385	8	False	not_applicable_CMAP_only_scope	layer_sensitive	sensitivity_dependent
natamycin	CMAP_only_no_fixed_panel_mechanism	provisional_limited_CMAP_only	CMAP_only_provisional_classification	CMAP_only_provisional											29	27	29	28.6	0.8944271909999161	0.0	15.384615384615385	2	False	not_applicable_CMAP_only_scope	high_rank_stability	moderate_overall_robustness
camptothecin	injury_dominant_developmental_perturbant	strong_multilayer_evidence	direct_quantitative_multilayer_classification	integrated_CMAP_plus_direct_LINCS	all_primary_absolute_axes_bootstrap_replicated	1.0	1.0	1.0	1.0	0.0	55.0	85.0	0.0	True	2	1	4	2.4	1.1401754250991378	71.02665257098496	86.96665492026526	3	True	high_rank_stability	high_rank_stability	high_overall_robustness
etoposide	injury_dominant_developmental_perturbant	strong_directional_multilayer_evidence	direct_quantitative_multilayer_classification	integrated_CMAP_plus_direct_LINCS	all_primary_absolute_axes_directionally_retained	2.0	2.0	4.0	2.3333333333333335	0.816496580927726	46.66666666666666	83.0	2.0	True	1	1	3	1.6	0.8944271909999159	72.70706089330773	86.66666666666666	2	True	high_rank_stability	high_rank_stability	high_overall_robustness
