DTHI_map	external_map	external_family	spearman_rho	bijective_p_spin_two_sided	bijective_q_BH_global160	bijective_q_BH_family80	bijective_p_maxT_global160	bijective_p_maxT_family80	nonbijective_spearman_rho	nonbijective_p_spin_two_sided	nonbijective_q_BH_global160	nonbijective_q_BH_family80	nonbijective_p_maxT_global160	nonbijective_p_maxT_family80	bijective_high_support_spearman_rho	bijective_high_support_p_spin_two_sided	bijective_high_support_q_BH_sensitivity160	nonbijective_high_support_spearman_rho	nonbijective_high_support_p_spin_two_sided	nonbijective_high_support_q_BH_sensitivity160	LODO_mean_rho	LODO_median_rho	LODO_minimum_rho	LODO_maximum_rho	LODO_standard_deviation	minimum_absolute_LODO_rho	maximum_absolute_delta_from_primary	sign_concordant_omissions	sign_concordant_fraction	all_five_direction_concordant	LODO_stability_class	observed_rho_matches_nonbijective	nonbijective_any_corrected	bijective_any_corrected	bijective_global_maxT_significant	bijective_family_maxT_significant	bijective_global_BH_significant	bijective_family_BH_significant	bijective_high_support_BH_significant	LH46_direction_concordant	LH46_rho_delta_from_LH49	evidence_class	high_support_class	integrated_evidence_statement	priority_for_reporting	rank_global_maxT	evidence_tier	evidence_tier_order	evidence_tier_label	corrected_evidence_subclass	effect_direction	effect_magnitude	manuscript_term	reporting_permission	locked_priority_association	LODO_5of5_direction_concordant	LODO_rho_min	LODO_rho_max	LH46_BH_supported	manuscript_safe_sentence	causal_interpretation_allowed	independent_replication_claim_allowed	LH46_interpretation
synaptic_assembly_receptor_trafficking	clinical_asd	clinical	-0.6542504371245565	0.0014998500149985	0.05999400059994	0.02999700029997	0.0186981301869813	0.0138986101389861	-0.6542504371245567	0.000999900009999	0.03999600039996	0.01999800019998	0.0741925807419258	0.0448955104489551	-0.6532412311467587	0.0013998600139986	0.0703929607039296	-0.6532412311467589	0.0014998500149985	0.063993600639936	-0.547545670776493	-0.5308704997538517	-0.7033370788741918	-0.4269823473606527	0.1096248166546973	0.4269823473606527	0.2272680897639039	5	1.0	True	direction_stable_high_effect_variation	True	True	True	True	True	False	True	False	True	0.0010092059777978	global_FWER_bijective	LH46_nominal_only	global_FWER_bijective;LODO_5of5_direction;LH46_nominal_only	True	1.0	Tier1_global_FWER	1	Tier 1 — global familywise-error-controlled evidence	global_maxT_FWER	negative	large	primary global-FWER-supported spatial association	main_text_primary_result	True	True	-0.7033370788741918	-0.4269823473606527	False	The synaptic assembly receptor trafficking map showed a negative spatial association with clinical asd (Spearman rho=-0.654) that survived exact-bijective global maxT correction.	False	False	no_nested_LH46_BH_FDR_support
axon_guidance_neurite_outgrowth	clinical_depression	clinical	-0.573265306122449	0.0014998500149985	0.05999400059994	0.02999700029997	0.1694830516948305	0.1121887811218878	-0.573265306122449	0.0034996500349965	0.09332400093324	0.055994400559944	0.4237576242375762	0.2843715628437156	-0.559050262102991	0.0020997900209979	0.0703929607039296	-0.559050262102991	0.0048995100489951	0.130653601306536	-0.5057142857142857	-0.5238775510204081	-0.5393877551020407	-0.4398979591836734	0.0404642339283131	0.4398979591836734	0.1333673469387755	5	1.0	True	direction_stable_moderate_effect_variation	True	False	True	False	False	False	True	False	True	0.0142150440194579	family_FDR_bijective	LH46_nominal_only	family_FDR_bijective;LODO_5of5_direction;LH46_nominal_only	True	2.0	Tier2_family_corrected	2	Tier 2 — family-level corrected evidence	family_BH_FDR	negative	moderate	secondary family-level corrected spatial association	main_text_secondary_result	True	True	-0.5393877551020407	-0.4398979591836734	False	The axon guidance neurite outgrowth map showed a negative spatial association with clinical depression (Spearman rho=-0.573) that retained family-level corrected support but not global familywise-error control.	False	False	no_nested_LH46_BH_FDR_support
patterning_arealization	clinical_asd	clinical	-0.5376058809502674	0.0006999300069993	0.055994400559944	0.027997200279972	0.3392660733926607	0.2260773922607739	-0.5376058809502674	0.0005999400059994	0.03999600039996	0.01999800019998	0.6653334666533347	0.4900509949005099	-0.55344477075629	0.0010998900109989	0.0703929607039296	-0.55344477075629	0.0014998500149985	0.063993600639936	-0.471272581288598	-0.4892335978123732	-0.6299622443253607	-0.267578325712149	0.1318539215652394	0.267578325712149	0.2700275552381183	5	1.0	True	direction_stable_high_effect_variation	True	True	True	False	False	False	True	False	True	-0.0158388898060225	family_FDR_bijective	LH46_nominal_only	family_FDR_bijective;LODO_5of5_direction;LH46_nominal_only	True	3.0	Tier2_family_corrected	2	Tier 2 — family-level corrected evidence	family_BH_FDR	negative	moderate	secondary family-level corrected spatial association	main_text_secondary_result	True	True	-0.6299622443253607	-0.267578325712149	False	The patterning arealization map showed a negative spatial association with clinical asd (Spearman rho=-0.538) that retained family-level corrected support but not global familywise-error control.	False	False	no_nested_LH46_BH_FDR_support
synaptic_membrane_structural_candidates	clinical_asd	clinical	-0.4804571920109832	0.0018998100189981	0.0607939206079392	0.0303969603039696	0.6987301269873013	0.5113488651134886	-0.480457192010983	0.0003999600039996	0.03999600039996	0.01999800019998	0.9332066793320668	0.8292170782921707	-0.4744957786056101	0.0021997800219978	0.0703929607039296	-0.4744957786056101	0.0006999300069993	0.063993600639936	-0.4020818471799646	-0.3797326277554945	-0.6139402011763114	-0.0704153488716181	0.2141989564746533	0.0704153488716181	0.4100418431393648	5	1.0	True	direction_stable_high_effect_variation	True	True	True	False	False	False	True	False	True	0.005961413405373	family_FDR_bijective	LH46_nominal_only	family_FDR_bijective;LODO_5of5_direction;LH46_nominal_only	True	5.0	Tier2_family_corrected	2	Tier 2 — family-level corrected evidence	family_BH_FDR	negative	moderate	secondary family-level corrected spatial association	main_text_secondary_result	True	True	-0.6139402011763114	-0.0704153488716181	False	The synaptic membrane structural candidates map showed a negative spatial association with clinical asd (Spearman rho=-0.480) that retained family-level corrected support but not global familywise-error control.	False	False	no_nested_LH46_BH_FDR_support
synaptic_membrane_structural_candidates	clinical_depression	clinical	-0.516734693877551	0.0004999500049995	0.055994400559944	0.027997200279972	0.4701529847015298	0.3197680231976802	-0.5167346938775509	0.000999900009999	0.03999600039996	0.01999800019998	0.7903209679032097	0.6253374662533746	-0.4931853222325006	0.0014998500149985	0.0703929607039296	-0.4931853222325008	0.001999800019998	0.063993600639936	-0.432734693877551	-0.5257142857142857	-0.5468367346938775	-0.2811224489795917	0.1376391878154278	0.2811224489795917	0.2356122448979591	5	1.0	True	direction_stable_high_effect_variation	True	True	True	False	False	False	True	False	True	0.0235493716450503	family_FDR_bijective	LH46_nominal_only	family_FDR_bijective;LODO_5of5_direction;LH46_nominal_only	True	4.0	Tier2_family_corrected	2	Tier 2 — family-level corrected evidence	family_BH_FDR	negative	moderate	secondary family-level corrected spatial association	main_text_secondary_result	True	True	-0.5468367346938775	-0.2811224489795917	False	The synaptic membrane structural candidates map showed a negative spatial association with clinical depression (Spearman rho=-0.517) that retained family-level corrected support but not global familywise-error control.	False	False	no_nested_LH46_BH_FDR_support
axon_guidance_neurite_outgrowth	clinical_bipolar	clinical	-0.375	0.0463953604639536	0.421291204212912	0.3711628837116288	0.9974002599740026	0.9686031396860314	-0.375	0.0813918608139186	0.6511348865113489	0.5426124054261241	0.999900009999	0.9987001299870012	-0.3583718778908418	0.0612938706129387	0.4500419523265065	-0.3583718778908418	0.096990300969903	0.7027445403607787	-0.3238775510204081	-0.3649999999999999	-0.4317346938775509	-0.1060204081632653	0.1351730422591822	0.1060204081632653	0.2689795918367347	5	1.0	True	direction_stable_high_effect_variation	True	False	False	False	False	False	False	False	True	0.0166281221091582	bijective_nominal_only	LH46_direction_concordant_not_nominal	bijective_nominal_only;LODO_5of5_direction;LH46_direction_concordant_not_nominal	False	15.0	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	nominal_exact_bijective_spin	negative	small	nominal exploratory spatial correspondence	supplementary_or_explicitly_exploratory_only	False	True	-0.4317346938775509	-0.1060204081632653	False	The axon guidance neurite outgrowth–clinical bipolar correspondence was nominal under the exact-bijective spin test and is treated as exploratory.	False	False	no_nested_LH46_BH_FDR_support
neurogenesis_migration_layering	clinical_bipolar	clinical	0.426734693877551	0.0394960503949605	0.413958604139586	0.35107600351076	0.9422057794220576	0.8188181181881812	0.426734693877551	0.0750924907509249	0.6511348865113489	0.5426124054261241	0.9957004299570044	0.9702029797020298	0.3988282454517421	0.0590940905909409	0.4500419523265065	0.3988282454517422	0.0993900609939006	0.7027445403607787	0.4194285714285714	0.4271428571428571	0.3686734693877551	0.4485714285714285	0.0314128803926128	0.3686734693877551	0.0580612244897958	5	1.0	True	direction_and_effect_size_stable	True	False	False	False	False	False	False	False	True	-0.0279064484258088	bijective_nominal_only	LH46_direction_concordant_not_nominal	bijective_nominal_only;LODO_5of5_direction;LH46_direction_concordant_not_nominal	False	7.0	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	nominal_exact_bijective_spin	positive	moderate	nominal exploratory spatial correspondence	supplementary_or_explicitly_exploratory_only	False	True	0.3686734693877551	0.4485714285714285	False	The neurogenesis migration layering–clinical bipolar correspondence was nominal under the exact-bijective spin test and is treated as exploratory.	False	False	no_nested_LH46_BH_FDR_support
preliminary_maturation_balance	clinical_bipolar	clinical	0.3831632653061223	0.0270972902709729	0.413958604139586	0.3096833173825475	0.9937006299370064	0.9528047195280472	0.3831632653061223	0.0431956804319568	0.51994800519948	0.454954504549545	0.9998000199980002	0.9977002299770024	0.3234659266111624	0.0754924507549245	0.4588112617309698	0.3234659266111624	0.1136886311368863	0.7027445403607787	0.3213061224489795	0.3591836734693877	0.0651020408163265	0.4164285714285713	0.1465601591778124	0.0651020408163265	0.3180612244897958	5	1.0	True	direction_stable_high_effect_variation	True	False	False	False	False	False	False	False	True	-0.0596973386949599	bijective_nominal_only	LH46_direction_concordant_not_nominal	bijective_nominal_only;LODO_5of5_direction;LH46_direction_concordant_not_nominal	False	13.0	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	nominal_exact_bijective_spin	positive	small	nominal exploratory spatial correspondence	supplementary_or_explicitly_exploratory_only	False	True	0.0651020408163265	0.4164285714285713	False	The preliminary maturation balance–clinical bipolar correspondence was nominal under the exact-bijective spin test and is treated as exploratory.	False	False	no_nested_LH46_BH_FDR_support
preliminary_maturation_balance	clinical_depression	clinical	0.386938775510204	0.0215978402159784	0.383961603839616	0.287971202879712	0.9923007699230078	0.944905509449055	0.3869387755102039	0.0454954504549545	0.51994800519948	0.454954504549545	0.9997000299970004	0.997000299970003	0.4217699660807894	0.0152984701529847	0.3496793177825075	0.4217699660807893	0.0265973402659734	0.471952804719528	0.3468571428571428	0.3578571428571428	0.2861224489795918	0.3796938775510204	0.0376689170752136	0.2861224489795918	0.100816326530612	5	1.0	True	direction_stable_moderate_effect_variation	True	False	False	False	False	False	False	False	True	0.0348311905705854	bijective_nominal_only	LH46_nominal_only	bijective_nominal_only;LODO_5of5_direction;LH46_nominal_only	False	12.0	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	nominal_exact_bijective_spin	positive	small	nominal exploratory spatial correspondence	supplementary_or_explicitly_exploratory_only	False	True	0.2861224489795918	0.3796938775510204	False	The preliminary maturation balance–clinical depression correspondence was nominal under the exact-bijective spin test and is treated as exploratory.	False	False	no_nested_LH46_BH_FDR_support
preliminary_maturation_balance	clinical_ocd	clinical	0.3338775510204081	0.0371962803719628	0.413958604139586	0.35107600351076	1.0	0.9969003099690033	0.3338775510204081	0.0797920207979202	0.6511348865113489	0.5426124054261241	1.0	1.0	0.3206290471785383	0.0603939606039396	0.4500419523265065	0.3206290471785383	0.1182881711828817	0.7027445403607787	0.2647959183673469	0.2896938775510203	0.1859183673469387	0.3063265306122448	0.0516502954451876	0.1859183673469387	0.1479591836734693	5	1.0	True	direction_stable_moderate_effect_variation	True	False	False	False	False	False	False	False	True	-0.0132485038418698	bijective_nominal_only	LH46_direction_concordant_not_nominal	bijective_nominal_only;LODO_5of5_direction;LH46_direction_concordant_not_nominal	False	20.0	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	nominal_exact_bijective_spin	positive	small	nominal exploratory spatial correspondence	supplementary_or_explicitly_exploratory_only	False	True	0.1859183673469387	0.3063265306122448	False	The preliminary maturation balance–clinical ocd correspondence was nominal under the exact-bijective spin test and is treated as exploratory.	False	False	no_nested_LH46_BH_FDR_support
