DTHI_map	map_level_highest_tier	map_level_highest_tier_order	map_level_reporting_label	Tier1_association_count	Tier2_association_count	Tier3A_association_count	Tier3B_association_count	priority_association_count	highest_evidence_external_map	highest_evidence_external_family	highest_evidence_rho	strongest_absolute_external_map	strongest_absolute_external_family	strongest_absolute_rho	AHBA_minimum_LODO_vs_full_rho	AHBA_median_LODO_vs_full_rho	developmental_empirical_layer_status	empirical_peak_developmental_window	cell_type_empirical_layer_status	cell_system_annotation_basis	cross_modal_convergence_class
synaptic_assembly_receptor_trafficking	Tier1_global_FWER	1	Tier 1 — global familywise-error-controlled evidence	1	0	0	15	1	clinical_asd	clinical	-0.6542504371245565	clinical_asd	clinical	-0.6542504371245565	0.771734693877551	0.9105102040816324	used	infancy_postnatal_circuit_formation	not_found	frozen_module_definition	global_spatial_evidence_with_AHBA_donor_robustness
axon_guidance_neurite_outgrowth	Tier2_family_corrected	2	Tier 2 — family-level corrected evidence	0	1	1	14	1	clinical_depression	clinical	-0.573265306122449	clinical_depression	clinical	-0.573265306122449	0.8357142857142856	0.8570408163265305	used	mid_fetal_neurogenesis	not_found	frozen_module_definition	family_spatial_evidence_with_AHBA_donor_robustness
patterning_arealization	Tier2_family_corrected	2	Tier 2 — family-level corrected evidence	0	1	0	15	1	clinical_asd	clinical	-0.5376058809502674	clinical_asd	clinical	-0.5376058809502674	0.8129591836734693	0.9021428571428572	used	late_fetal_synaptogenesis	not_found	frozen_module_definition	family_spatial_evidence_with_AHBA_donor_robustness
synaptic_membrane_structural_candidates	Tier2_family_corrected	2	Tier 2 — family-level corrected evidence	0	2	0	14	2	clinical_depression	clinical	-0.516734693877551	clinical_depression	clinical	-0.516734693877551	0.726734693877551	0.8363265306122448	used	mid_fetal_neurogenesis	not_found	frozen_module_definition	family_spatial_evidence_with_AHBA_donor_robustness
astrocyte_maturation_metabolic_support	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	0	0	1	15	0	cognitive_executive_control	cognitive	0.3933673469387754	cognitive_executive_control	cognitive	0.3933673469387754	0.8940816326530612	0.915	used	late_fetal_synaptogenesis	not_found	frozen_module_definition	descriptive_or_nominal_cross_modal_correspondence
neurogenesis_migration_layering	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	0	0	1	15	0	clinical_bipolar	clinical	0.426734693877551	cognitive_attention	cognitive	0.4530612244897959	0.9140816326530612	0.9410204081632652	used	early_fetal_patterning	not_found	frozen_module_definition	descriptive_or_nominal_cross_modal_correspondence
oligodendrocyte_myelination	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	0	0	5	11	0	cognitive_sensorimotor	cognitive	0.4120408163265305	cognitive_sensorimotor	cognitive	0.4120408163265305	0.8490816326530611	0.8810204081632652	used	adolescence_myelination_refinement	not_found	frozen_module_definition	descriptive_or_nominal_cross_modal_correspondence
preliminary_maturation_balance	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	0	0	4	12	0	clinical_depression	clinical	0.386938775510204	clinical_depression	clinical	0.386938775510204	0.7029591836734692	0.9411224489795916	used	adult_stabilization	not_found	frozen_module_definition	descriptive_or_nominal_cross_modal_correspondence
progenitor_radial_glia	Tier3A_nominal	3	Tier 3A — nominal exact-bijective spatial correspondence	0	0	1	15	0	cognitive_executive_control	cognitive	0.4193877551020407	cognitive_executive_control	cognitive	0.4193877551020407	0.8352040816326529	0.930408163265306	used	late_fetal_synaptogenesis	not_found	frozen_module_definition	descriptive_or_nominal_cross_modal_correspondence
activity_dependent_plasticity	Tier3B_descriptive	4	Tier 3B — descriptive spatial correspondence	0	0	0	16	0	cognitive_attention	cognitive	0.3695918367346939	cognitive_attention	cognitive	0.3695918367346939	0.8719387755102039	0.92234693877551	used	adolescence_myelination_refinement	not_found	frozen_module_definition	descriptive_or_nominal_cross_modal_correspondence
