effective_analysis_set	archive_name	donor_id	gestational_week	panel_class	processed_H5AD	scoring_family	module	selected_cells	grid_bins_per_axis	occupied_bins	figure_display_bins	minimum_cells_for_display	median_cells_per_occupied_bin	maximum_cells_per_bin	weighted_map_mean	absolute_weighted_map_mean	cell_module_population_SD	weighted_spatial_bin_mean_SD	figure_bin_mean_q02	figure_bin_mean_q50	figure_bin_mean_q98	formal_spatial_inference
primary	UMB1117_O1.zip	UMB1117	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	activity_dependent_plasticity	579531	64	2051	1959	20	277.0	856	3.264275732769586e-16	3.264275732769586e-16	0.53023789239808	0.24380243796697637	-0.2418156050856021	-0.0912212353082243	0.6463131683380487	False
primary	UMB1117_O1.zip	UMB1117	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	astrocyte_maturation_metabolic_support	579531	64	2051	1959	20	277.0	856	-1.0671670664823645e-16	1.0671670664823645e-16	0.39670570189986754	0.1547736551534309	-0.25508556650496633	-0.006952995581036499	0.3445585555293882	False
primary	UMB1117_O1.zip	UMB1117	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	neurogenesis_migration_layering	579531	64	2051	1959	20	277.0	856	-6.434389665555433e-17	6.434389665555433e-17	0.3097235312407482	0.12553253918813687	-0.38633301541371623	0.03848700674263913	0.21954741069088468	False
primary	UMB1117_O1.zip	UMB1117	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	patterning_arealization	579531	64	2051	1959	20	277.0	856	2.6679176662059112e-17	2.6679176662059112e-17	0.40597127711598957	0.18939148539975934	-0.2660492029497157	-0.06795672868598635	0.32275668505645827	False
primary	UMB1117_O1.zip	UMB1117	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	progenitor_radial_glia	579531	64	2051	1959	20	277.0	856	6.528551465539172e-16	6.528551465539172e-16	0.5613902783379195	0.3639800761595917	-0.3889000763258397	-0.19278621979004062	0.8576144618759177	False
primary	UMB1367_O1.zip	UMB1367	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	activity_dependent_plasticity	887043	64	2029	1958	20	486.0	818	-5.372628200989291e-16	5.372628200989291e-16	0.53552273113256	0.24255930799132722	-0.2530126725762548	-0.05244360565513888	0.6093979083966222	False
primary	UMB1367_O1.zip	UMB1367	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	astrocyte_maturation_metabolic_support	887043	64	2029	1958	20	486.0	818	-7.587299367809304e-17	7.587299367809304e-17	0.3989583826691874	0.1761036270268391	-0.24657101742028711	-0.08082090241055645	0.35821987586527465	False
primary	UMB1367_O1.zip	UMB1367	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	neurogenesis_migration_layering	887043	64	2029	1958	20	486.0	818	-2.4607457409111258e-17	2.4607457409111258e-17	0.2962177768420139	0.12319134327392947	-0.3757555861791368	0.026904565966505155	0.20665337793267033	False
primary	UMB1367_O1.zip	UMB1367	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	patterning_arealization	887043	64	2029	1958	20	486.0	818	4.716429336746324e-17	4.716429336746324e-17	0.4403196911447075	0.24470952565216353	-0.39066409746451874	-0.14718403009942166	0.4910803191388611	False
primary	UMB1367_O1.zip	UMB1367	15	300_gene_panel	gw15.h5ad	cross_panel_harmonized_core	progenitor_radial_glia	887043	64	2029	1958	20	486.0	818	-2.4607457409111258e-17	2.4607457409111258e-17	0.5634053909843849	0.39249624924283205	-0.35433229329878574	-0.28904054961025627	0.8851716424043402	False
primary	UMB1759_O1.zip	UMB1759	18	960_gene_panel	gw18_umb1759.h5ad	cross_panel_harmonized_core	activity_dependent_plasticity	927296	64	2876	2746	20	327.0	705	7.429582750200509e-17	7.429582750200509e-17	0.5010183657934199	0.047084901784654354	-0.058930432742400785	-0.009448398707394829	0.1593849365614698	False
primary	UMB1759_O1.zip	UMB1759	18	960_gene_panel	gw18_umb1759.h5ad	cross_panel_harmonized_core	astrocyte_maturation_metabolic_support	927296	64	2876	2746	20	327.0	705	1.240715799208402e-16	1.240715799208402e-16	0.3764034548036079	0.05564629664798037	-0.13234149270796394	-0.004906770085895624	0.09931005999788087	False
primary	UMB1759_O1.zip	UMB1759	18	960_gene_panel	gw18_umb1759.h5ad	expanded_panel_only	axon_guidance_neurite_outgrowth	927296	64	2876	2746	20	327.0	705	-8.3368255282778e-17	8.3368255282778e-17	0.31478849162293543	0.0650938832481761	-0.16208454901513128	-0.005520815197174089	0.12520757259039936	False
primary	UMB1759_O1.zip	UMB1759	18	960_gene_panel	gw18_umb1759.h5ad	cross_panel_harmonized_core	neurogenesis_migration_layering	927296	64	2876	2746	20	327.0	705	8.8272270299412e-18	8.8272270299412e-18	0.27819829392886936	0.058272336940950624	-0.1731104663206089	-0.0033816853199392493	0.12243063395897366	False
primary	UMB1759_O1.zip	UMB1759	18	960_gene_panel	gw18_umb1759.h5ad	expanded_panel_only	oligodendrocyte_myelination	927296	64	2876	2746	20	327.0	705	-4.4503936275953544e-17	4.4503936275953544e-17	0.476350214198815	0.03819029697474188	-0.044673412205659284	-0.006695336148565743	0.14745585330354152	False
primary	UMB1759_O1.zip	UMB1759	18	960_gene_panel	gw18_umb1759.h5ad	cross_panel_harmonized_core	patterning_arealization	927296	64	2876	2746	20	327.0	705	3.1385696106457595e-17	3.1385696106457595e-17	0.40630095039281455	0.06903160592375507	-0.1995620546912373	0.002689314319777418	0.12125411697664233	False
