area_assignment	module	units	mean_score	sd_score	median_score	q25_score	q75_score
shared	activity_dependent_plasticity	2077	-0.0644055619743051	0.380320073360809	-0.172380534964173	-0.321981061777677	0.0601263260405307
V1	activity_dependent_plasticity	780	0.0342487608702902	0.383298859165223	-0.0881342771236762	-0.279843127210575	0.287789926205123
V2	activity_dependent_plasticity	606	0.269263514318004	0.672923852613075	0.0580371249424507	-0.203217904830872	0.665271052468226
UNRESOLVED	activity_dependent_plasticity	128	-0.438416960428949	0.0796501476224998	-0.462686503664247	-0.495351419882107	-0.407005811312407
shared	astrocyte_maturation_metabolic_support	2077	0.185173146010535	0.718671484341399	-0.0147312349372358	-0.305354774120676	0.441217339515584
V1	astrocyte_maturation_metabolic_support	780	-0.290228104565973	0.164083233166602	-0.322041293918171	-0.415238154413985	-0.199223612004737
V2	astrocyte_maturation_metabolic_support	606	-0.150806390324255	0.309590998832173	-0.197446443379055	-0.350756507816711	-0.00856059454643887
UNRESOLVED	astrocyte_maturation_metabolic_support	128	-0.522172110671284	0.0500691060528844	-0.537683254580266	-0.554994334816021	-0.5087714838203
shared	axon_guidance_neurite_outgrowth	2077	-0.0863185285497977	0.440125259350401	-0.182215709752499	-0.379937266783491	0.0818473366569256
V1	axon_guidance_neurite_outgrowth	780	-0.0149542868095038	0.442808143160062	-0.151072426176907	-0.373964937556931	0.311329426462612
V2	axon_guidance_neurite_outgrowth	606	0.449164487722925	0.961357875106405	0.122697166090846	-0.241211643678833	1.04028315189317
UNRESOLVED	axon_guidance_neurite_outgrowth	128	-0.634732437896484	0.0841473371409275	-0.659093419523329	-0.699084937177921	-0.572685069524268
shared	neurogenesis_migration_layering	2077	-0.173601872745701	0.398537585188461	-0.281134243777149	-0.443638469647644	-0.0113950200324655
V1	neurogenesis_migration_layering	780	0.14544074810581	0.63130387172119	-0.0886160074739527	-0.39369745886413	0.660930253097676
V2	neurogenesis_migration_layering	606	0.530400528996885	1.09411374782143	0.073790642319048	-0.260872082178375	1.21944392476055
UNRESOLVED	neurogenesis_migration_layering	128	-0.580432925014248	0.130029648554968	-0.61831061011283	-0.671214510309276	-0.520174895380172
shared	oligodendrocyte_myelination	2077	0.042290996267066	0.408537527255451	-0.0543168984729311	-0.187485044104679	0.138941760602549
V1	oligodendrocyte_myelination	780	-0.0687809752663989	0.220265929043202	-0.119864205960863	-0.221956297611048	0.0144177688780856
V2	oligodendrocyte_myelination	606	0.0064242646257828	0.331278908062188	-0.0694140343100234	-0.204060330293662	0.112424587259925
UNRESOLVED	oligodendrocyte_myelination	128	-0.297518303922885	0.0556560676305586	-0.324133384834869	-0.324133384834869	-0.302237159839751
shared	patterning_arealization	2077	0.106122208144644	0.572164584179022	-0.0434030930829276	-0.30543571222766	0.35264847004127
V1	patterning_arealization	780	-0.188090456847868	0.27170844419565	-0.265334502726144	-0.403250366947272	-0.0345675236217318
V2	patterning_arealization	606	-0.00430349427760582	0.435929074604878	-0.07317378232642	-0.297844099200203	0.215695541073827
UNRESOLVED	patterning_arealization	128	-0.555448065959836	0.0589524541224349	-0.567894372232094	-0.595322924179202	-0.536931668188557
shared	progenitor_radial_glia	2077	0.312565473941128	0.831987288049827	0.0896206891314352	-0.289572562644227	0.676977465371035
V1	progenitor_radial_glia	780	-0.473042502009082	0.114799388088371	-0.503267140726431	-0.558656872317799	-0.406271969602001
V2	progenitor_radial_glia	606	-0.33484897636642	0.231923088992352	-0.357297591763857	-0.50870317920682	-0.215921168352053
UNRESOLVED	progenitor_radial_glia	128	-0.60395982914522	0.0375206353737016	-0.61263317756813	-0.63580270734346	-0.585929148801028
shared	synaptic_assembly_receptor_trafficking	2077	-0.290353943866566	0.268410665890638	-0.356802760948493	-0.469779700219645	-0.18372057745419
V1	synaptic_assembly_receptor_trafficking	780	0.288518671066778	0.700309025409943	0.0300212248264845	-0.299524979310729	0.787611497104226
V2	synaptic_assembly_receptor_trafficking	606	0.740779179933629	1.26828876419479	0.217995487718914	-0.192330241631605	1.58326228619628
UNRESOLVED	synaptic_assembly_receptor_trafficking	128	-0.553840664539122	0.115123133761675	-0.583594283678952	-0.64223469839995	-0.499503039657563
shared	synaptic_membrane_structural_candidates	2077	-0.212716354147852	0.333245216056849	-0.299743740087242	-0.435450626699833	-0.0731254900071971
V1	synaptic_membrane_structural_candidates	780	0.159237253299133	0.578186743669713	-0.0570043612293145	-0.33118862726203	0.574722439525792
V2	synaptic_membrane_structural_candidates	606	0.641094296582425	1.17596750084941	0.147344932546869	-0.190995551551655	1.38429045950087
UNRESOLVED	synaptic_membrane_structural_candidates	128	-0.553877607321751	0.096848476477831	-0.580050164708803	-0.628374640553527	-0.509468276927402
