author_cluster_id	author_cluster_label	cluster_annotation_mapped	module	units	mean_score	sd_score	median_score	q25_score	q75_score
7	oSVZ-L2	TRUE	activity_dependent_plasticity	210	-0.0213442656460717	0.266143672624135	-0.0831888258910971	-0.189541414694431	0.0710651164997658
17	L3-V1	TRUE	activity_dependent_plasticity	87	0.34720223549585	0.259843716492972	0.334827436276783	0.183611658053393	0.53767673567086
8	L4-V2	TRUE	activity_dependent_plasticity	200	0.910151789908114	0.703885592924717	0.759856570900431	0.567873673115908	1.10619774822988
5	SP-V1	TRUE	activity_dependent_plasticity	260	-0.287571186007674	0.0974445592206827	-0.306861560178403	-0.355370990605364	-0.237953721835539
2	oSVZ-1	TRUE	activity_dependent_plasticity	282	0.132555304082802	0.355448991564105	0.0427930427052376	-0.0845687328752203	0.286221007273846
3	VZ	TRUE	activity_dependent_plasticity	272	0.397202452766841	0.529790954917369	0.29716741262458	0.0260246475051122	0.669487268142261
15	L5/6-V2	TRUE	activity_dependent_plasticity	119	0.00474209125430605	0.288533075069347	-0.0389962515001747	-0.168841063160076	0.0878221313641236
14	UNRESOLVED	FALSE	activity_dependent_plasticity	128	-0.438416960428949	0.0796501476224998	-0.462686503664247	-0.495351419882107	-0.407005811312407
0	iSVZ	TRUE	activity_dependent_plasticity	307	-0.114632122826682	0.228238590459482	-0.167235528430294	-0.268377893023061	-0.035831458481455
4	oSVZ-2	TRUE	activity_dependent_plasticity	265	-0.320384312381048	0.121509565051604	-0.348435429472689	-0.397855138692334	-0.267382546066597
6	oSVZ-L1	TRUE	activity_dependent_plasticity	234	-0.263663661386686	0.139900166895478	-0.289401070814262	-0.355775288858625	-0.203301275047026
10	L4-V1	TRUE	activity_dependent_plasticity	158	0.505133179799645	0.335877603440493	0.476695806108239	0.286424547088046	0.699039421247235
9	L5/6-V1	TRUE	activity_dependent_plasticity	162	-0.0466548946356979	0.228421688233315	-0.072802348788652	-0.230355817774295	0.080401515986334
11	oSVZ-3	TRUE	activity_dependent_plasticity	153	-0.0784213880894188	0.264150168490841	-0.136950029223811	-0.239720909457038	0.0254796114802728
1	IZ	TRUE	activity_dependent_plasticity	283	-0.344374580828794	0.103857484402407	-0.364928794231935	-0.405413222926648	-0.305664280307022
12	L2/3-V2	TRUE	activity_dependent_plasticity	147	0.0195684504379567	0.498079443897929	-0.179591595185541	-0.376245862235134	0.325244233359361
16	L2-V1	TRUE	activity_dependent_plasticity	113	-0.00864603650157668	0.272564065565209	-0.0605693732825552	-0.218701582952572	0.166706060294865
13	SP-V2	TRUE	activity_dependent_plasticity	140	-0.159268138418245	0.169041422918188	-0.18959983581659	-0.269882240130208	-0.0644285964459964
18	iSVZ-L	TRUE	activity_dependent_plasticity	71	0.232957192487268	0.390158607664852	0.0768512121085075	-0.046261185978953	0.431116251178242
7	oSVZ-L2	TRUE	astrocyte_maturation_metabolic_support	210	0.170754599300256	0.403785983674754	0.0598133605053655	-0.0960722828760057	0.333450990488661
17	L3-V1	TRUE	astrocyte_maturation_metabolic_support	87	-0.199627189984832	0.14696298017833	-0.226847409908168	-0.294994255071653	-0.107297160497244
8	L4-V2	TRUE	astrocyte_maturation_metabolic_support	200	0.0697772598985405	0.358616039285102	-0.00140661765522776	-0.120202284656221	0.139088497291319
5	SP-V1	TRUE	astrocyte_maturation_metabolic_support	260	-0.404390241381032	0.0851667549400258	-0.418181732841266	-0.465734699119731	-0.368480301877396
2	oSVZ-1	TRUE	astrocyte_maturation_metabolic_support	282	0.608260505255919	0.650956538637216	0.472798438412142	0.196882430407016	0.785703064170253
3	VZ	TRUE	astrocyte_maturation_metabolic_support	272	1.15513762919826	1.01773510815184	0.9744168633555	0.489863028288061	1.52419243856653
15	L5/6-V2	TRUE	astrocyte_maturation_metabolic_support	119	-0.28133726785694	0.181663322419601	-0.313795751332846	-0.39713656959221	-0.205982666629635
14	UNRESOLVED	FALSE	astrocyte_maturation_metabolic_support	128	-0.522172110671284	0.0500691060528844	-0.537683254580266	-0.554994334816021	-0.5087714838203
0	iSVZ	TRUE	astrocyte_maturation_metabolic_support	307	0.112162150018754	0.383098403406813	0.00535822258580232	-0.143958780461091	0.245948008371572
4	oSVZ-2	TRUE	astrocyte_maturation_metabolic_support	265	-0.295803970808465	0.16906589463999	-0.326094622355095	-0.412726121660584	-0.223486186978134
6	oSVZ-L1	TRUE	astrocyte_maturation_metabolic_support	234	-0.206377947773863	0.202140234316088	-0.258663062947477	-0.352296453899716	-0.100050839809124
10	L4-V1	TRUE	astrocyte_maturation_metabolic_support	158	-0.13076459334504	0.161196552664279	-0.152531011929652	-0.235897122174325	-0.052333637276875
9	L5/6-V1	TRUE	astrocyte_maturation_metabolic_support	162	-0.301351268526239	0.123200390606173	-0.323349492518261	-0.37474067950322	-0.235818523390549
11	oSVZ-3	TRUE	astrocyte_maturation_metabolic_support	153	0.14299612938089	0.312322129872842	0.0942912266147499	-0.077395416648563	0.321873577376374
1	IZ	TRUE	astrocyte_maturation_metabolic_support	283	-0.414253755764498	0.108120956245603	-0.44090620828065	-0.481015481921324	-0.374867679731532
12	L2/3-V2	TRUE	astrocyte_maturation_metabolic_support	147	-0.289794999524707	0.240074613580401	-0.377877729364728	-0.484107412959853	-0.12356959352413
16	L2-V1	TRUE	astrocyte_maturation_metabolic_support	113	-0.304329044459673	0.150919492178991	-0.313455602248965	-0.415220740206945	-0.230189257891988
13	SP-V2	TRUE	astrocyte_maturation_metabolic_support	140	-0.20903660507928	0.189893336286379	-0.253766152791909	-0.342606278814915	-0.116026013508418
18	iSVZ-L	TRUE	astrocyte_maturation_metabolic_support	71	0.712977152963087	0.668721996544456	0.539639982800755	0.285481047311267	0.913049988849452
7	oSVZ-L2	TRUE	axon_guidance_neurite_outgrowth	210	0.0760517341594851	0.419673421129167	-0.013730303305137	-0.173155994878522	0.197102715611221
17	L3-V1	TRUE	axon_guidance_neurite_outgrowth	87	0.357347075786433	0.315146755552491	0.378139099815295	0.151120135268578	0.53727609146121
8	L4-V2	TRUE	axon_guidance_neurite_outgrowth	200	1.3542114061503	0.996411280636332	1.20929708326905	0.866100381362867	1.54731750175231
5	SP-V1	TRUE	axon_guidance_neurite_outgrowth	260	-0.374947270943938	0.135906045531911	-0.388020095319889	-0.472225667821387	-0.304907856053298
2	oSVZ-1	TRUE	axon_guidance_neurite_outgrowth	282	0.341876898569321	0.586714425114136	0.225085303768823	0.0116123333722765	0.513586934383505
3	VZ	TRUE	axon_guidance_neurite_outgrowth	272	0.0733860537387051	0.463686674140613	0.00455934144647346	-0.199724553227695	0.250109850709835
15	L5/6-V2	TRUE	axon_guidance_neurite_outgrowth	119	-0.0376413465301276	0.365138019846316	-0.100262824020598	-0.254051876431032	0.115878962419849
14	UNRESOLVED	FALSE	axon_guidance_neurite_outgrowth	128	-0.634732437896484	0.0841473371409275	-0.659093419523329	-0.699084937177921	-0.572685069524268
0	iSVZ	TRUE	axon_guidance_neurite_outgrowth	307	-0.170163144713069	0.307791780491326	-0.219489248938459	-0.383486887950288	-0.0595723211705113
4	oSVZ-2	TRUE	axon_guidance_neurite_outgrowth	265	-0.325782638183159	0.20153789290547	-0.34898572783134	-0.452168842972785	-0.228116115277037
6	oSVZ-L1	TRUE	axon_guidance_neurite_outgrowth	234	-0.329444877296514	0.200663890882821	-0.36819294637166	-0.463248418633353	-0.213991255708921
10	L4-V1	TRUE	axon_guidance_neurite_outgrowth	158	0.502301743807247	0.365859522994563	0.466958696826945	0.305534869243298	0.735340876599311
9	L5/6-V1	TRUE	axon_guidance_neurite_outgrowth	162	-0.171387208468883	0.215880280611527	-0.199555472382149	-0.332764421947688	-0.0497735274368396
11	oSVZ-3	TRUE	axon_guidance_neurite_outgrowth	153	0.037591811201836	0.310698349813603	-0.0264635703165609	-0.154933363339426	0.161780493099058
1	IZ	TRUE	axon_guidance_neurite_outgrowth	283	-0.392357213611357	0.165443228236445	-0.417931566362584	-0.501703741350002	-0.326029978990286
12	L2/3-V2	TRUE	axon_guidance_neurite_outgrowth	147	0.175980334987246	0.762091133725797	-0.0497682816684936	-0.469383833462571	0.718640060833537
