broad_compartment	module	units	mean_score	sd_score	median_score	q25_score	q75_score
oSVZ	activity_dependent_plasticity	1144	-0.109877020941843	0.303117830776361	-0.180575198563527	-0.316231014788297	0.0139803183811721
CP_layer3	activity_dependent_plasticity	87	0.34720223549585	0.259843716492972	0.334827436276783	0.183611658053393	0.53767673567086
CP_layer4	activity_dependent_plasticity	358	0.731400559748511	0.605268203721503	0.630807425372785	0.427572834565165	0.926924658493869
SP	activity_dependent_plasticity	400	-0.242665119351374	0.140971006399388	-0.272629173680472	-0.335595854624153	-0.175508805164599
VZ	activity_dependent_plasticity	272	0.397202452766841	0.529790954917369	0.29716741262458	0.0260246475051122	0.669487268142261
CP_layers5_6	activity_dependent_plasticity	281	-0.0248889112872621	0.256384889465152	-0.0706980481481696	-0.20189400691697	0.0856457835027666
UNRESOLVED	activity_dependent_plasticity	128	-0.438416960428949	0.0796501476224998	-0.462686503664247	-0.495351419882107	-0.407005811312407
iSVZ	activity_dependent_plasticity	378	-0.0493441826486654	0.298372890696927	-0.124939109019436	-0.251321338682167	0.0310458162933591
IZ	activity_dependent_plasticity	283	-0.344374580828794	0.103857484402407	-0.364928794231935	-0.405413222926648	-0.305664280307022
CP_layers2_3	activity_dependent_plasticity	147	0.0195684504379567	0.498079443897929	-0.179591595185541	-0.376245862235134	0.325244233359361
CP_layer2	activity_dependent_plasticity	113	-0.00864603650157668	0.272564065565209	-0.0605693732825552	-0.218701582952572	0.166706060294865
oSVZ	astrocyte_maturation_metabolic_support	1144	0.0896729406356396	0.531247984091405	-0.0446899258893863	-0.274808097941862	0.292131064190666
CP_layer3	astrocyte_maturation_metabolic_support	87	-0.199627189984832	0.14696298017833	-0.226847409908168	-0.294994255071653	-0.107297160497244
CP_layer4	astrocyte_maturation_metabolic_support	358	-0.018730038460358	0.305055031905929	-0.072544478473911	-0.181402282046889	0.0765723603503941
SP	astrocyte_maturation_metabolic_support	400	-0.336016468675419	0.161165312775996	-0.380805525913861	-0.443568028870545	-0.274140776606138
VZ	astrocyte_maturation_metabolic_support	272	1.15513762919826	1.01773510815184	0.9744168633555	0.489863028288061	1.52419243856653
CP_layers5_6	astrocyte_maturation_metabolic_support	281	-0.292875588527497	0.150776288427627	-0.318574679168053	-0.387281785502348	-0.22722554205855
UNRESOLVED	astrocyte_maturation_metabolic_support	128	-0.522172110671284	0.0500691060528844	-0.537683254580266	-0.554994334816021	-0.5087714838203
