depth_stratum	module	primary_block_metric	V1_blocks	V2_blocks	V1_block_mean	V2_block_mean	V1_minus_V2	Welch_studentized_statistic	Hedges_g	direction	permutation_p_two_sided	permutation_p_Monte_Carlo_SE	within_depth_maxT_p	within_depth_BH_FDR	global_BH_FDR	global_Holm_FWER	passes_within_depth_maxT_0_05	passes_within_depth_BH_0_05	passes_global_BH_0_05	passes_global_Holm_0_05	section_specific_primary_signal	Monte_Carlo_permutations	exact_label_permutations
SP	progenitor_radial_glia	trimmed_mean	25	14	-0.5506193960177174	-0.24429574779107627	-0.3063236482266411	-10.557684823516617	-4.54923076236936	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.2857014286999988e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	15084504396
SP	astrocyte_maturation_metabolic_support	trimmed_mean	25	14	-0.40047747949219525	-0.19511590470576268	-0.20536157478643258	-9.986967717536453	-3.8723902233713106	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.2857014286999988e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	15084504396
SP	patterning_arealization	trimmed_mean	25	14	-0.3924539517218837	-0.13518751462058537	-0.2572664371012983	-7.908839040983656	-3.2695158332171683	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.2857014286999988e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	15084504396
SP	neurogenesis_migration_layering	trimmed_mean	25	14	-0.4323897118504478	-0.1834418976353178	-0.24894781421513	-7.310900968214128	-3.055281339498454	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.2857014286999988e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	15084504396
SP	axon_guidance_neurite_outgrowth	trimmed_mean	25	14	-0.37991161373163485	-0.11919280777102538	-0.2607188059606095	-6.622210032802446	-2.7851616773647527	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.2857014286999988e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	15084504396
SP	synaptic_membrane_structural_candidates	trimmed_mean	25	14	-0.3566393948677364	-0.14516376685326526	-0.21147562801447112	-6.596773888317711	-2.7215764344675497	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.2857014286999988e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	15084504396
L4	axon_guidance_neurite_outgrowth	trimmed_mean	15	20	0.44793814574144025	1.329877672200299	-0.8819395264588588	-6.345745401903212	-1.8649587558845184	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.124988750112499e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	3247943160
L4	synaptic_membrane_structural_candidates	trimmed_mean	15	20	0.7962202324148578	1.8386931946369132	-1.0424729622220554	-6.047030940851638	-1.7862221017914053	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.124988750112499e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	3247943160
L4	synaptic_assembly_receptor_trafficking	trimmed_mean	15	20	1.11387483561196	2.080948540430769	-0.9670737048188087	-5.692544490653082	-1.6960648227090174	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.124988750112499e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	3247943160
L4	activity_dependent_plasticity	trimmed_mean	15	20	0.46117556040269425	0.896713847344766	-0.43553828694207175	-5.452621707216772	-1.6420725594119314	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.124988750112499e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	3247943160
L4	neurogenesis_migration_layering	trimmed_mean	15	20	0.7393890490006051	1.5246425931315433	-0.7852535441309382	-5.157390200535205	-1.52409753533219	V2_higher	9.99990000099999e-06	9.999850001874979e-06	9.99990000099999e-06	1.124988750112499e-05	2.3999760002399977e-05	0.0003599964000359997	True	True	True	True	True	100000	3247943160
