depth_stratum	module	locked_genes	spatial_evidence_class	A3_section_specific_primary_signal	A4_geometry_robust_effect	A4_geometry_robust_primary_signal	direction	V1_minus_V2	A3_Hedges_g	permutation_p_two_sided	within_depth_maxT_p	global_BH_FDR	global_Holm_FWER	geometry_candidates	unique_grid_widths	direction_concordance_fraction	width_median_direction_concordance	geometry_median_V1_minus_V2	geometry_median_Hedges_g	top_positive_snRNAseq_identities	top_negative_snRNAseq_identities	snRNAseq_frontal_minus_occipital_descriptive	snRNAseq_region_comparison_role	single_Visium_section	independent_biological_replication	population_level_inference
SP	progenitor_radial_glia	26	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.3063236482266411	-4.54923076236936	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.33217973029694825	-4.18501688683399	vRG;Dividing progenitor;RG;OPC;IPC	EN-ET-3;EN-ET-1;EN-ET-4;EN-ET-7;EN-IT-UL-5	0.0959831911638759	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
SP	patterning_arealization	29	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.2572664371012983	-3.2695158332171683	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.27371065156454866	-4.105380916091912	vRG;Dividing progenitor;RG;IPC;OPC	Microglia;IN-MGE-2;EN-IT-UL-5;EN-ET-4;IN-MGE-1	0.020646557857836	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
SP	synaptic_membrane_structural_candidates	38	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.21147562801447112	-2.7215764344675497	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.21730113394041958	-3.9938501758787393	EN-ET-3;EN-ET-7;EN-ET-5;EN-ET-6;EN-ET-2	Microglia;IPC;RG;Dividing progenitor;EN-IT-UL-5	-0.0724376012919937	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
SP	neurogenesis_migration_layering	24	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.24894781421513	-3.055281339498454	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.2586258553867825	-3.8102551376797167	EN-Mig-3;EN-ET-6;EN-L2;EN-ET-5;EN-IT-DL-3	Microglia;EC-1;vRG;RG;OPC	0.0163397572687748	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
SP	astrocyte_maturation_metabolic_support	19	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.20536157478643258	-3.8723902233713106	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.22301234524679422	-3.6726722729540833	vRG;RG;OPC;Microglia;Dividing progenitor	EN-IT-UL-5;IN-MGE-1;IN-MGE-2;EN-IT-L4-V1;EN-IT-DL-2	0.0927746053038678	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
SP	axon_guidance_neurite_outgrowth	29	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.2607188059606095	-2.7851616773647527	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.2877092703973518	-3.429780838717528	EN-Mig-3;EN-ET-5;EN-IT-DL-3;EN-ET-7;EN-ET-6	Microglia;RG;vRG;Dividing progenitor;OPC	-0.0473078496656346	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
SP	synaptic_assembly_receptor_trafficking	34	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.1803496651523573	-2.0541358314195746	9.99990000099999e-06	0.00022999770002299976	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.20311992612751856	-2.8598141175415743	EN-ET-6;EN-ET-7;EN-ET-3;EN-ET-2;EN-ET-5	Microglia;Dividing progenitor;RG;IPC;vRG	-0.0676807005829334	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
L4	axon_guidance_neurite_outgrowth	29	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.8819395264588588	-1.8649587558845184	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.9100963914114025	-1.907692672385059	EN-Mig-3;EN-ET-5;EN-IT-DL-3;EN-ET-7;EN-ET-6	Microglia;RG;vRG;Dividing progenitor;OPC	-0.0473078496656346	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
L4	synaptic_membrane_structural_candidates	38	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-1.0424729622220554	-1.7862221017914053	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-1.0438637889930567	-1.7862221017914053	EN-ET-3;EN-ET-7;EN-ET-5;EN-ET-6;EN-ET-2	Microglia;IPC;RG;Dividing progenitor;EN-IT-UL-5	-0.0724376012919937	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
L4	progenitor_radial_glia	26	S1_geometry_robust_section_specific_corrected	True	True	True	V2_higher	-0.16628416350877642	-1.4470785785198228	9.99990000099999e-06	9.99990000099999e-06	2.3999760002399977e-05	0.0003599964000359997	17	5	1.0	1.0	-0.17361287824876612	-1.661470407226918	vRG;Dividing progenitor;RG;OPC;IPC	EN-ET-3;EN-ET-1;EN-ET-4;EN-ET-7;EN-IT-UL-5	0.0959831911638759	descriptive_context_only_different_contrast_and_donor_confounded	True	False	False
