regulator	developmental_program_direction	adult_favored_neuronal_class	highest_mean_adult_broad_cell_class	robust_cis_validation	cis_subset_enriched_vs_random_targets	temporal_program_shift_supported	supported_DTHI_module_count	final_phase7_evidence_class	final_integrated_interpretation
E2F1	fetal_high	excitatory_neuron	endothelial	True	True	True	0	Tier_F1_convergent_temporal_cis_perturbational_regulator	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support; trajectory-concordant temporal-program impact; cis-subset specificity
MYC	fetal_high	excitatory_neuron	endothelial	True	False	True	1	Tier_F1_convergent_temporal_cis_perturbational_regulator	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support; trajectory-concordant temporal-program impact; DTHI-module impact
E2F4	fetal_high	inhibitory_neuron	astrocyte	True	False	True	0	Tier_F1_convergent_temporal_cis_perturbational_regulator	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support; trajectory-concordant temporal-program impact
NRF1	maturation_high	inhibitory_neuron	inhibitory_neuron	True	False	False	0	Tier_F1_convergent_temporal_cis_perturbational_regulator	maturation-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support
REST	fetal_high	excitatory_neuron	pericyte	True	False	False	0	Tier_F1_convergent_temporal_cis_perturbational_regulator	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support
E2F3	fetal_high	excitatory_neuron	microglia	True	True	True	0	Tier_F1_convergent_temporal_cis_perturbational_regulator	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support; trajectory-concordant temporal-program impact; cis-subset specificity
CIITA	maturation_high	inhibitory_neuron	endothelial	False	False	False	0	Tier_F2_primary_perturbational_regulator_without_direct_cis_validation	maturation-high developmental regulator; primary cross-fitted perturbational support
RFX5	maturation_high	inhibitory_neuron	microglia	False	False	False	0	Tier_F2_primary_perturbational_regulator_without_direct_cis_validation	maturation-high developmental regulator; primary cross-fitted perturbational support
RFXAP	maturation_high	inhibitory_neuron	microglia	False	False	False	0	Tier_F3_small_regulon_perturbational_sensitivity_regulator	maturation-high developmental regulator; small-regulon perturbational sensitivity support
SRSF2	fetal_high	inhibitory_neuron	vascular_leptomeningeal	False	False	False	0	Tier_F3_small_regulon_perturbational_sensitivity_regulator	fetal-high developmental regulator; small-regulon perturbational sensitivity support
