virtual_perturbation_component	component_status	TF	testable	reason	OE_value	KO_OE_cosine	dominant_module	dominant_module_KO_shift	dominant_module_OE_shift	donors_opposite_KO_OE	donors_tested	real_KO_module_vector_norm	randomized_GRN_KO_module_vector_norm	real_exceeds_randomized_GRN	CellOracle_reciprocal_support	RFX_shared_nonindependent	condition	module	donor	mean_module_shift	cells	target_TF	control_TF	match_rank	target_mean_expression	control_mean_expression	target_detection_fraction	control_detection_fraction	status	significant_BH
CellOracle_candidate_summary	canonical_rows_present	NKX2-2	True		0.5544991323751621	-0.9117611937273868	synaptic_membrane_structural_candidates	-0.0325002434427996	0.0900551298555405	8.0	8.0	0.0486870713628572	0.0103138747497225	True	True	False														
CellOracle_candidate_summary	canonical_rows_present	RFX5	True		0.0604549429333488	-0.9849375027245328	synaptic_membrane_structural_candidates	0.0009838506367088	-0.0028058448370201	8.0	8.0	0.0014782101937975	0.0002288339058992	True	True	True														
CellOracle_candidate_summary	canonical_rows_present	RFXANK	True		0.0841868564330581	-0.9725326530426068	astrocyte_maturation_metabolic_support	-0.0015603119667943	0.0077041294992678	8.0	8.0	0.0023788726986666	0.0006089888179417	True	True	True														
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	activity_dependent_plasticity	BRC2256	0.0358337334420759	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	activity_dependent_plasticity	BRC2329	-2.4223451841764902e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	activity_dependent_plasticity	BRC2330	-0.0003534563145909	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	activity_dependent_plasticity	HDBR15777	0.0415418356552296	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	activity_dependent_plasticity	HDBR15853	0.0391281542361875	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	activity_dependent_plasticity	XDD395	0.0013519031513687	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	activity_dependent_plasticity	XDD424	0.0059873274927056	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	activity_dependent_plasticity	XDD431	0.0202478304422076	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	activity_dependent_plasticity	BRC2256	-0.0067069767784078	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	activity_dependent_plasticity	BRC2329	0.0110985983166169	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	activity_dependent_plasticity	BRC2330	0.009921205979697	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	activity_dependent_plasticity	HDBR15777	-0.0054607251685759	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	activity_dependent_plasticity	HDBR15853	-0.0113976226449229	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	activity_dependent_plasticity	XDD395	-0.0083280059642119	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	activity_dependent_plasticity	XDD424	-0.0730231383845857	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	activity_dependent_plasticity	XDD431	-0.0432581442587058	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	activity_dependent_plasticity	BRC2256	0.0039535757281215	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	activity_dependent_plasticity	BRC2329	-8.724041560158544e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	activity_dependent_plasticity	BRC2330	-0.0009859657701161	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	activity_dependent_plasticity	HDBR15777	0.0045740014729565	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	activity_dependent_plasticity	HDBR15853	0.0038452351853395	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	activity_dependent_plasticity	XDD395	-0.0004053048412727	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	activity_dependent_plasticity	XDD424	0.0002701812194892	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	activity_dependent_plasticity	XDD431	0.0017813780959559	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	astrocyte_maturation_metabolic_support	BRC2256	0.011787768704764	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	astrocyte_maturation_metabolic_support	BRC2329	7.208373481391187e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	astrocyte_maturation_metabolic_support	BRC2330	0.0014483578823727	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	astrocyte_maturation_metabolic_support	HDBR15777	0.0135404752363779	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	astrocyte_maturation_metabolic_support	HDBR15853	0.0130143787216605	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	astrocyte_maturation_metabolic_support	XDD395	0.001707736771676	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	astrocyte_maturation_metabolic_support	XDD424	0.0019052484127105	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	astrocyte_maturation_metabolic_support	XDD431	0.0068372611122884	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	astrocyte_maturation_metabolic_support	BRC2256	-0.0111119263741935	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	astrocyte_maturation_metabolic_support	BRC2329	-0.0320246070431404	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	astrocyte_maturation_metabolic_support	BRC2330	-0.0104133687275484	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	astrocyte_maturation_metabolic_support	HDBR15777	-0.0312674377880919	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	astrocyte_maturation_metabolic_support	HDBR15853	-0.0286080323346859	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	astrocyte_maturation_metabolic_support	XDD395	-0.0080274707041511	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	astrocyte_maturation_metabolic_support	XDD424	-0.0400048524014875	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	astrocyte_maturation_metabolic_support	XDD431	-0.0288889289278818	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	astrocyte_maturation_metabolic_support	BRC2256	0.0073557703613948	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	astrocyte_maturation_metabolic_support	BRC2329	1.7464158049297294e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	astrocyte_maturation_metabolic_support	BRC2330	0.0001071726276619	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	astrocyte_maturation_metabolic_support	HDBR15777	0.00850466640512	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	astrocyte_maturation_metabolic_support	HDBR15853	0.0079602329420731	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	astrocyte_maturation_metabolic_support	XDD395	0.000312432581353	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	astrocyte_maturation_metabolic_support	XDD424	0.0012524618113881	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	astrocyte_maturation_metabolic_support	XDD431	0.0042001375016919	900.0									
