reference_dataset	dataset	target_cell_class	module	retained_genes	target_n	other_n	target_mean_score	other_mean_score	mean_difference	median_difference	mannwhitney_p	fdr_bh
GSE104276_developmental	GSE104276	NPC	patterning_arealization	25	8	27	0.21044004	-0.062352624	0.27279267	0.27127773	0.067074105143547	0.2333714252009111
GSE104276_developmental	GSE104276	NPC	progenitor_radial_glia	12	8	27	0.787989	-0.23347823	1.0214672	1.1952673	8.157778211170807e-06	0.0004405200234032
GSE104276_developmental	GSE104276	NPC	neurogenesis_migration_layering	23	8	27	-0.2554113	0.07567743	-0.33108872	-0.44979656	0.1128383055329322	0.3046634249389172
GSE104276_developmental	GSE104276	NPC	axon_guidance_neurite_outgrowth	29	8	27	-0.32653937	0.09675241	-0.42329177	-0.5512119	0.0734687820076942	0.2333714252009111
GSE104276_developmental	GSE104276	NPC	synaptic_assembly_receptor_trafficking	34	8	27	-0.6200714	0.18372487	-0.8037963	-0.93571454	0.0002229792735306	0.0040136269235517
GSE104276_developmental	GSE104276	NPC	astrocyte_maturation_metabolic_support	19	8	27	-0.08262077	0.02448024	-0.10710101	0.08009466	0.8624699711799622	0.8787429895041123
GSE104276_developmental	GSE104276	NPC	oligodendrocyte_myelination	20	8	27	-0.3802232	0.11265873	-0.49288195	-0.40593383	0.067074105143547	0.2333714252009111
GSE104276_developmental	GSE104276	NPC	activity_dependent_plasticity	25	8	27	-0.29287988	0.086779214	-0.3796591	-0.26429224	0.0171895436942577	0.1139217093586921
GSE104276_developmental	GSE104276	NPC	synaptic_membrane_structural_candidates	38	8	27	-0.35016635	0.10375303	-0.45391938	-0.5294915	0.0373488590121269	0.2016838386654854
GSE104276_developmental	GSE104276	OPC	patterning_arealization	27	4	31	-0.072838575	0.0093985265	-0.0822371	-0.30365553	0.6347593665122986	0.7292979955673218
GSE104276_developmental	GSE104276	OPC	progenitor_radial_glia	25	4	31	0.36821616	-0.047511823	0.41572797	0.54311883	0.1761650145053863	0.3523300290107727
GSE104276_developmental	GSE104276	OPC	neurogenesis_migration_layering	24	4	31	-0.41504967	0.053554803	-0.46860448	-0.46785527	0.0564171113073825	0.2333714252009111
GSE104276_developmental	GSE104276	OPC	axon_guidance_neurite_outgrowth	29	4	31	-0.1634013	0.021084035	-0.18448535	-0.23840374	0.4366310238838196	0.6534453794360161
GSE104276_developmental	GSE104276	OPC	synaptic_assembly_receptor_trafficking	34	4	31	0.3318354	-0.042817473	0.37465286	0.29985896	0.1940030604600906	0.3641632312330706
GSE104276_developmental	GSE104276	OPC	astrocyte_maturation_metabolic_support	19	4	31	0.32889384	-0.042437904	0.37133175	0.61633027	0.0823911353945732	0.2471734061837196
GSE104276_developmental	GSE104276	OPC	oligodendrocyte_myelination	14	4	31	1.3758653	-0.17753103	1.5533963	1.6521794	0.000152788386913	0.0040136269235517
GSE104276_developmental	GSE104276	OPC	activity_dependent_plasticity	25	4	31	0.30626816	-0.03951848	0.34578663	0.34852418	0.0728800594806671	0.2333714252009111
GSE104276_developmental	GSE104276	OPC	synaptic_membrane_structural_candidates	38	4	31	0.3385392	-0.043682452	0.38222167	0.42067212	0.1296791434288025	0.3183033520525152
GSE104276_developmental	GSE104276	astrocyte	patterning_arealization	27	2	33	0.37780207	-0.022897098	0.40069917	0.35866156	0.1210084035992622	0.3111644663981029
GSE104276_developmental	GSE104276	astrocyte	progenitor_radial_glia	26	2	33	0.22155195	-0.01342742	0.23497938	0.37348345	0.4840336143970489	0.6534453794360161
GSE104276_developmental	GSE104276	astrocyte	neurogenesis_migration_layering	24	2	33	-0.74353534	0.045062747	-0.78859806	-0.9265339	0.2722689211368561	0.4766767870995306
GSE104276_developmental	GSE104276	astrocyte	axon_guidance_neurite_outgrowth	29	2	33	-0.16384238	0.009929844	-0.17377223	-0.23771286	0.8067227005958557	0.8541769771014943
GSE104276_developmental	GSE104276	astrocyte	synaptic_assembly_receptor_trafficking	34	2	33	0.060524136	-0.0036681304	0.064192265	0.018313088	0.8605042099952698	0.8787429895041123
GSE104276_developmental	GSE104276	astrocyte	astrocyte_maturation_metabolic_support	4	2	33	1.5573717	-0.094386175	1.651758	1.8873348	0.0500954911112785	0.2333714252009111
GSE104276_developmental	GSE104276	astrocyte	oligodendrocyte_myelination	20	2	33	0.037660882	-0.0022824632	0.039943345	0.22988044	0.5243697762489319	0.6568974446166645
GSE104276_developmental	GSE104276	astrocyte	activity_dependent_plasticity	25	2	33	0.20376685	-0.0123495115	0.21611637	0.29425126	0.5243697762489319	0.6568974446166645
