final_integrated_rank	regulator	final_phase7_evidence_class	descriptive_multilayer_evidence_score	regulatory_evidence_tier	developmental_program_direction	integrated_celltype_evidence_class	adult_favored_neuronal_class	highest_mean_adult_broad_cell_class	final_cis_regulatory_evidence_class	robust_cis_validation	cis_subset_enriched_vs_random_targets	model_family	robust_primary_perturbation_prediction	robust_small_regulon_sensitivity_prediction	temporal_program_shift_supported	supported_DTHI_module_count	supported_celltype_module_count	temporal_mechanistic_score	celltype_localization_score	cis_regulatory_score	perturbation_score	program_impact_score	cis_subset_specificity_score	final_integrated_interpretation
1	E2F1	Tier_F1_convergent_temporal_cis_perturbational_regulator	13	Tier_A_stringent_temporal_mechanistic	fetal_high	adult_secondary_localization_only	excitatory_neuron	endothelial	Tier_D1_robust_direct_promoter_cis_validation	True	True	primary_five_fold	True	False	True	0	0	3	1	3	3	2	1	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support; trajectory-concordant temporal-program impact; cis-subset specificity
2	MYC	Tier_F1_convergent_temporal_cis_perturbational_regulator	13	Tier_A_stringent_temporal_mechanistic	fetal_high	adult_secondary_plus_exploratory_fetal_directional_robustness	excitatory_neuron	endothelial	Tier_D1_robust_direct_promoter_cis_validation	True	False	primary_five_fold	True	False	True	1	0	3	1	3	3	3	0	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support; trajectory-concordant temporal-program impact; DTHI-module impact
3	E2F4	Tier_F1_convergent_temporal_cis_perturbational_regulator	12	Tier_A_stringent_temporal_mechanistic	fetal_high	adult_secondary_localization_only	inhibitory_neuron	astrocyte	Tier_D1_robust_direct_promoter_cis_validation	True	False	primary_five_fold	True	False	True	0	0	3	1	3	3	2	0	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support; trajectory-concordant temporal-program impact
4	NRF1	Tier_F1_convergent_temporal_cis_perturbational_regulator	11	Tier_A_stringent_temporal_mechanistic	maturation_high	adult_primary_plus_exploratory_fetal_directional_robustness	inhibitory_neuron	inhibitory_neuron	Tier_D1_robust_direct_promoter_cis_validation	True	False	primary_five_fold	True	False	False	0	0	3	2	3	3	0	0	maturation-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support
5	REST	Tier_F1_convergent_temporal_cis_perturbational_regulator	11	Tier_A_stringent_temporal_mechanistic	fetal_high	adult_primary_localization_only	excitatory_neuron	pericyte	Tier_D1_robust_direct_promoter_cis_validation	True	False	primary_five_fold	True	False	False	0	0	3	2	3	3	0	0	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support
6	E2F3	Tier_F1_convergent_temporal_cis_perturbational_regulator	11	Tier_B_robust_temporal_mechanistic	fetal_high	no_supported_celltype_localization	excitatory_neuron	microglia	Tier_D1_robust_direct_promoter_cis_validation	True	True	primary_five_fold	True	False	True	0	0	2	0	3	3	2	1	fetal-high developmental regulator; direct promoter-cis validated; primary cross-fitted perturbational support; trajectory-concordant temporal-program impact; cis-subset specificity
7	CIITA	Tier_F2_primary_perturbational_regulator_without_direct_cis_validation	8	Tier_A_stringent_temporal_mechanistic	maturation_high	adult_primary_localization_only	inhibitory_neuron	endothelial	Tier_D4_non_motif_testable_regulatory_factor	False	False	primary_five_fold	True	False	False	0	0	3	2	0	3	0	0	maturation-high developmental regulator; primary cross-fitted perturbational support
8	RFX5	Tier_F2_primary_perturbational_regulator_without_direct_cis_validation	8	Tier_B_robust_temporal_mechanistic	maturation_high	adult_primary_localization_only	inhibitory_neuron	microglia	Tier_D3_motif_testable_without_target_enrichment	False	False	primary_five_fold	True	False	False	0	0	2	2	1	3	0	0	maturation-high developmental regulator; primary cross-fitted perturbational support
9	RFXAP	Tier_F3_small_regulon_perturbational_sensitivity_regulator	5	Tier_B_robust_temporal_mechanistic	maturation_high	adult_primary_localization_only	inhibitory_neuron	microglia	Tier_D4_non_motif_testable_regulatory_factor	False	False	sensitivity_three_fold	False	True	False	0	0	2	2	0	1	0	0	maturation-high developmental regulator; small-regulon perturbational sensitivity support
10	SRSF2	Tier_F3_small_regulon_perturbational_sensitivity_regulator	4	Tier_B_robust_temporal_mechanistic	fetal_high	exploratory_fetal_directional_robustness_only	inhibitory_neuron	vascular_leptomeningeal	Tier_D4_non_motif_testable_regulatory_factor	False	False	sensitivity_three_fold	False	True	False	0	0	2	1	0	1	0	0	fetal-high developmental regulator; small-regulon perturbational sensitivity support
